procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0  11004    152   4582    0    0     0     4    3    3  1  0 99  0  0 2025-09-16 21:48:29
 0  0      0  10991    152   4582    0    0     0     4  485  658  3  1 95  0  0 2025-09-16 21:48:30
 0  0      0  10991    152   4582    0    0     0     0  195  248  0  0 100  0  0 2025-09-16 21:48:31
 0  0      0  10991    152   4582    0    0     0    56  167  223  0  0 100  0  0 2025-09-16 21:48:32
 0  0      0  10991    152   4582    0    0     0     0  147  217  0  0 100  0  0 2025-09-16 21:48:33
 0  0      0  10991    152   4582    0    0     0     0  276  336  1  0 99  0  0 2025-09-16 21:48:34
 0  0      0  10991    152   4582    0    0     0     0  191  216  0  0 100  0  0 2025-09-16 21:48:35
 0  0      0  10991    152   4582    0    0     0     0  208  237  1  0 98  0  0 2025-09-16 21:48:36
 0  0      0  10991    152   4582    0    0     0    20  149  218  0  0 100  0  0 2025-09-16 21:48:37
 0  0      0  10991    152   4582    0    0     0     0  141  206  0  0 100  0  0 2025-09-16 21:48:38
 0  0      0  10991    152   4582    0    0     0     0  146  210  0  0 100  0  0 2025-09-16 21:48:39
 0  0      0  10991    152   4582    0    0     0     0  144  193  0  0 100  0  0 2025-09-16 21:48:40
 0  0      0  10991    152   4582    0    0     0     0  129  191  0  0 100  0  0 2025-09-16 21:48:41
 0  0      0  10991    152   4582    0    0     0    16  161  219  0  0 100  0  0 2025-09-16 21:48:42
 0  0      0  10991    152   4582    0    0     0     0  140  204  0  0 100  0  0 2025-09-16 21:48:43
 0  0      0  10991    152   4582    0    0     0     0  156  218  0  0 100  0  0 2025-09-16 21:48:44
 0  0      0  10991    152   4582    0    0     0     0  125  179  0  0 100  0  0 2025-09-16 21:48:45
 0  0      0  10991    152   4582    0    0     0     0  130  175  0  0 100  0  0 2025-09-16 21:48:46
 0  0      0  10991    152   4582    0    0     0    16  147  207  0  0 100  0  0 2025-09-16 21:48:47
 0  0      0  10991    152   4582    0    0     0     0  150  216  0  0 100  0  0 2025-09-16 21:48:48
 0  0      0  10991    152   4582    0    0     0     0  149  213  0  0 100  0  0 2025-09-16 21:48:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0  10991    152   4582    0    0     0     0  137  191  0  0 100  0  0 2025-09-16 21:48:50
 0  0      0  10991    152   4582    0    0     0     0  160  211  0  0 100  0  0 2025-09-16 21:48:51
 0  0      0  10991    152   4582    0    0     0    16  178  257  0  0 100  0  0 2025-09-16 21:48:52
 0  0      0  10991    152   4582    0    0     0     0  155  233  0  0 100  0  0 2025-09-16 21:48:53
 0  0      0  10991    152   4582    0    0     0     0  160  230  0  0 100  0  0 2025-09-16 21:48:54
 0  0      0  10991    152   4582    0    0     0     0  132  195  0  0 100  0  0 2025-09-16 21:48:55
 0  0      0  10991    152   4582    0    0     0     0  147  204  0  0 100  0  0 2025-09-16 21:48:56
 0  0      0  10991    152   4582    0    0     0    16  174  263  0  0 100  0  0 2025-09-16 21:48:57
 0  0      0  10991    152   4582    0    0     0     0  157  225  0  0 100  0  0 2025-09-16 21:48:58
 0  0      0  10991    152   4582    0    0     0     4  164  241  0  0 100  0  0 2025-09-16 21:48:59
 0  0      0  10991    152   4582    0    0     0     0  149  203  0  0 100  0  0 2025-09-16 21:49:00
 0  0      0  10991    152   4582    0    0     0     0  141  211  0  0 100  0  0 2025-09-16 21:49:01
 0  0      0  10991    152   4582    0    0     0    28  182  256  0  0 100  0  0 2025-09-16 21:49:02
 0  0      0  10991    152   4582    0    0     0     0  161  249  0  0 100  0  0 2025-09-16 21:49:03
 0  0      0  10991    152   4582    0    0     0     0  158  228  0  0 100  0  0 2025-09-16 21:49:04
 0  0      0  10991    152   4582    0    0     0    68  152  217  0  0 100  0  0 2025-09-16 21:49:05
 0  0      0  10991    152   4582    0    0     0     0  164  232  0  0 100  0  0 2025-09-16 21:49:06
 0  0      0  10991    152   4582    0    0     0    28  156  226  0  0 100  0  0 2025-09-16 21:49:07
 0  0      0  10991    152   4582    0    0     0     0  166  227  0  0 100  0  0 2025-09-16 21:49:08
 0  0      0  10991    152   4582    0    0     0     0  155  238  0  0 100  0  0 2025-09-16 21:49:09
 0  0      0  10991    152   4582    0    0     0     0  146  204  0  0 100  0  0 2025-09-16 21:49:10
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0  10991    152   4582    0    0     0     0  140  207  0  0 100  0  0 2025-09-16 21:49:11
 0  0      0  10991    152   4582    0    0     0    16  172  242  0  0 100  0  0 2025-09-16 21:49:12
 0  0      0  10991    152   4582    0    0     0     0  149  226  0  0 100  0  0 2025-09-16 21:49:13
 0  0      0  10991    152   4582    0    0     0     0  155  223  0  0 100  0  0 2025-09-16 21:49:14
 0  0      0  10991    152   4582    0    0     0     0  153  234  0  0 100  0  0 2025-09-16 21:49:15
 0  0      0  10991    152   4582    0    0     0     0  153  213  0  0 100  0  0 2025-09-16 21:49:16
 2  0      0  10909    152   4582    0    0     0    16  638 1642 15  4 82  0  0 2025-09-16 21:49:17
 2  0      0  10898    152   4582    0    0     0     0  606  664 26  1 73  0  0 2025-09-16 21:49:18
 2  0      0  10897    152   4582    0    0     0     0  497  586 25  1 74  0  0 2025-09-16 21:49:19
 2  0      0  10897    152   4582    0    0     0     0  453  559 25  0 75  0  0 2025-09-16 21:49:20
 2  0      0  10897    152   4582    0    0     0     0  449  477 25  0 75  0  0 2025-09-16 21:49:21
 2  0      0  10897    152   4582    0    0     0    36  466  637 25  0 74  0  0 2025-09-16 21:49:22
 2  0      0  10897    152   4582    0    0     0     0  555  586 25  1 73  0  0 2025-09-16 21:49:23
 3  0      0  10897    152   4582    0    0     0     0  537  592 25  1 74  0  0 2025-09-16 21:49:24
 2  0      0  10897    152   4582    0    0     0     0  436  601 25  0 75  0  0 2025-09-16 21:49:25
 2  0      0  10897    152   4582    0    0     0     0  427  456 25  0 75  0  0 2025-09-16 21:49:26
 2  0      0  10896    152   4582    0    0     0    16  461  638 25  0 74  0  0 2025-09-16 21:49:27
 2  0      0  10897    152   4582    0    0     0     0  547  554 25  1 74  0  0 2025-09-16 21:49:28
 2  0      0  10897    152   4582    0    0     0     0  540  593 25  1 74  0  0 2025-09-16 21:49:29
 2  0      0  10897    152   4582    0    0     0     0  459  599 25  0 75  0  0 2025-09-16 21:49:30
 2  0      0  10897    152   4582    0    0     0     0  474  491 26  0 74  0  0 2025-09-16 21:49:31
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10897    152   4582    0    0     0    16  470  626 25  0 75  0  0 2025-09-16 21:49:32
 2  0      0  10896    152   4582    0    0     0     0  550  583 25  1 73  0  0 2025-09-16 21:49:33
 2  0      0  10896    152   4582    0    0     0     0  526  582 25  1 74  0  0 2025-09-16 21:49:34
 2  0      0  10896    152   4582    0    0     0     4  459  590 25  0 75  0  0 2025-09-16 21:49:35
 2  0      0  10896    152   4582    0    0     0     0  445  464 25  0 75  0  0 2025-09-16 21:49:36
 1  0      0  10896    152   4582    0    0     0    16  469  633 25  1 74  0  0 2025-09-16 21:49:37
 2  0      0  10896    152   4582    0    0     0     0  520  564 26  1 73  0  0 2025-09-16 21:49:38
 2  0      0  10896    152   4582    0    0     0     0  517  576 26  0 74  0  0 2025-09-16 21:49:39
 2  0      0  10896    152   4582    0    0     0    40  442  552 25  0 74  0  0 2025-09-16 21:49:40
 2  0      0  10896    152   4582    0    0     0     0  445  464 25  0 74  0  0 2025-09-16 21:49:41
 2  0      0  10896    152   4582    0    0     0    24  467  629 25  1 74  0  0 2025-09-16 21:49:42
 1  0      0  10896    152   4582    0    0     0     0  545  562 26  1 73  0  0 2025-09-16 21:49:43
 3  0      0  10896    152   4582    0    0     0     0  527  674 25  1 74  0  0 2025-09-16 21:49:44
 2  0      0  10896    152   4582    0    0     0     0  460  489 25  0 75  0  0 2025-09-16 21:49:45
 2  0      0  10896    152   4582    0    0     0     0  452  467 25  1 74  0  0 2025-09-16 21:49:46
 1  0      0  10896    152   4582    0    0     0    16  473  625 25  1 74  0  0 2025-09-16 21:49:47
 2  0      0  10897    152   4582    0    0     0     0  553  614 25  1 74  0  0 2025-09-16 21:49:48
 3  0      0  10896    152   4582    0    0     0     0  536  701 25  1 74  0  0 2025-09-16 21:49:49
 2  0      0  10896    152   4582    0    0     0     0  464  472 26  0 75  0  0 2025-09-16 21:49:50
 2  0      0  10896    152   4582    0    0     0   264  459  436 25  1 74  0  0 2025-09-16 21:49:51
 2  0      0  10896    152   4582    0    0     0    28  524  682 27  1 73  0  0 2025-09-16 21:49:52
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10896    152   4582    0    0     0     0  567  597 26  1 73  0  0 2025-09-16 21:49:53
 2  0      0  10896    152   4582    0    0     0     0  559  731 25  0 74  0  0 2025-09-16 21:49:54
 2  0      0  10896    152   4582    0    0     0     0  449  428 25  0 75  0  0 2025-09-16 21:49:55
 2  0      0  10896    152   4582    0    0     0     0  454  458 25  0 74  0  0 2025-09-16 21:49:56
 2  0      0  10896    152   4582    0    0     0    16  497  622 25  1 74  0  0 2025-09-16 21:49:57
 2  0      0  10896    152   4582    0    0     0     0  540  575 25  1 73  0  0 2025-09-16 21:49:58
 2  0      0  10896    152   4582    0    0     0     0  546  729 26  1 74  0  0 2025-09-16 21:49:59
 2  0      0  10896    152   4582    0    0     0     0  470  457 25  0 74  0  0 2025-09-16 21:50:00
 2  0      0  10896    152   4582    0    0     0    24  467  491 25  1 74  0  0 2025-09-16 21:50:01
 2  0      0  10896    152   4582    0    0     0     0  471  632 25  0 74  0  0 2025-09-16 21:50:02
 1  0      0  10896    152   4582    0    0     0     0  553  597 26  1 73  0  0 2025-09-16 21:50:03
 2  0      0  10896    152   4582    0    0     0     0  564  715 25  2 73  0  0 2025-09-16 21:50:04
 2  0      0  10896    152   4582    0    0     0     0  449  436 25  0 74  0  0 2025-09-16 21:50:05
 2  0      0  10896    152   4582    0    0     0    20  468  479 25  1 75  0  0 2025-09-16 21:50:06
 1  0      0  10896    152   4582    0    0     0     0  466  601 25  0 75  0  0 2025-09-16 21:50:07
 2  0      0  10896    152   4582    0    0     0     0  559  580 26  1 74  0  0 2025-09-16 21:50:08
 2  0      0  10896    152   4582    0    0     0     0  562  755 26  1 74  0  0 2025-09-16 21:50:09
 2  0      0  10896    152   4582    0    0     0     0  468  447 25  0 74  0  0 2025-09-16 21:50:10
 2  0      0  10896    152   4582    0    0     0    40  462  465 25  1 74  0  0 2025-09-16 21:50:11
 2  0      0  10896    152   4582    0    0     0     0  484  642 25  0 75  0  0 2025-09-16 21:50:12
 2  0      0  10896    152   4582    0    0     0     0  540  577 26  1 73  0  0 2025-09-16 21:50:13
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10896    152   4582    0    0     0     0  529  721 26  0 74  0  0 2025-09-16 21:50:14
 2  0      0  10896    152   4582    0    0     0     0  481  479 25  0 74  0  0 2025-09-16 21:50:15
 2  0      0  10896    152   4582    0    0     0    36  451  479 25  0 74  0  0 2025-09-16 21:50:16
 2  0      0  10896    152   4582    0    0     0     0  469  658 25  1 74  0  0 2025-09-16 21:50:17
 3  0      0  10895    152   4582    0    0     0     0  597  629 25  1 73  0  0 2025-09-16 21:50:18
 2  0      0  10896    152   4582    0    0     0     0  544  718 25  1 74  0  0 2025-09-16 21:50:19
 2  0      0  10896    152   4582    0    0     0     0  438  451 25  0 75  0  0 2025-09-16 21:50:20
 2  0      0  10896    152   4582    0    0     0    32  466  479 25  1 74  0  0 2025-09-16 21:50:21
 2  0      0  10896    152   4582    0    0     0     0  486  661 25  1 74  0  0 2025-09-16 21:50:22
 2  0      0  10896    152   4582    0    0     0     0  583  645 26  1 73  0  0 2025-09-16 21:50:23
 1  0      0  10895    152   4582    0    0     0     0  559  761 25  1 74  0  0 2025-09-16 21:50:24
 2  0      0  10895    152   4582    0    0     0     0  447  471 25  0 74  0  0 2025-09-16 21:50:25
 1  0      0  10895    152   4582    0    0     0    16  465  512 25  0 74  0  0 2025-09-16 21:50:26
 2  0      0  10895    152   4582    0    0     0     0  460  612 25  0 74  0  0 2025-09-16 21:50:27
 2  0      0  10896    152   4582    0    0     0     0  549  624 25  1 73  0  0 2025-09-16 21:50:28
 2  0      0  10896    152   4582    0    0     0     0  523  749 25  0 74  0  0 2025-09-16 21:50:29
 2  0      0  10896    152   4582    0    0     0     0  445  473 26  0 75  0  0 2025-09-16 21:50:30
 2  0      0  10896    152   4582    0    0     0    16  435  472 25  0 75  0  0 2025-09-16 21:50:31
 2  0      0  10896    152   4582    0    0     0     0  471  655 25  0 75  0  0 2025-09-16 21:50:32
 1  0      0  10895    152   4582    0    0     0     0  574  661 25  1 73  0  0 2025-09-16 21:50:33
 2  0      0  10895    152   4582    0    0     0     0  547  744 26  0 74  0  0 2025-09-16 21:50:34
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10895    152   4582    0    0     0     0  429  428 25  0 75  0  0 2025-09-16 21:50:35
 2  0      0  10895    152   4582    0    0     0    16  452  494 25  1 74  0  0 2025-09-16 21:50:36
 2  0      0  10895    152   4582    0    0     0     4  466  639 25  0 75  0  0 2025-09-16 21:50:37
 2  0      0  10895    152   4582    0    0     0     0  544  611 25  1 73  0  0 2025-09-16 21:50:38
 1  0      0  10895    152   4582    0    0     0     0  570  733 25  1 73  0  0 2025-09-16 21:50:39
 2  0      0  10895    152   4582    0    0     0     0  470  498 25  1 75  0  0 2025-09-16 21:50:40
 2  0      0  10895    152   4582    0    0     0    16  458  503 25  0 74  0  0 2025-09-16 21:50:41
 2  0      0  10895    152   4582    0    0     0    16  490  649 26  0 74  0  0 2025-09-16 21:50:42
 2  0      0  10895    152   4583    0    0     0     0  555  603 25  1 74  0  0 2025-09-16 21:50:43
 2  0      0  10895    152   4583    0    0     0     0  532  709 26  0 74  0  0 2025-09-16 21:50:44
 2  0      0  10895    152   4583    0    0     0     0  451  457 25  0 74  0  0 2025-09-16 21:50:45
 2  0      0  10895    152   4583    0    0     0    24  453  483 25  0 74  0  0 2025-09-16 21:50:46
 3  0      0  10895    152   4583    0    0     0   520  502  663 25  0 74  0  0 2025-09-16 21:50:47
 1  0      0  10895    152   4583    0    0     0     0  582  628 26  1 74  0  0 2025-09-16 21:50:48
 2  0      0  10895    152   4583    0    0     0     0  544  730 26  1 74  0  0 2025-09-16 21:50:49
 2  0      0  10895    152   4583    0    0     0     0  473  470 25  1 75  0  0 2025-09-16 21:50:50
 2  0      0  10895    152   4583    0    0     0    24  464  485 25  0 75  0  0 2025-09-16 21:50:51
 2  0      0  10895    152   4583    0    0     0     4  495  679 25  1 74  0  0 2025-09-16 21:50:52
 2  0      0  10895    152   4583    0    0     0     0  593  633 26  1 74  0  0 2025-09-16 21:50:53
 1  0      0  10895    152   4583    0    0     0     0  568  763 25  2 73  0  0 2025-09-16 21:50:54
 2  0      0  10895    152   4583    0    0     0     0  457  491 26  0 75  0  0 2025-09-16 21:50:55
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0  10895    152   4583    0    0     0    16  455  523 25  0 74  0  0 2025-09-16 21:50:56
 1  0      0  10895    152   4583    0    0     0     0  484  626 25  0 75  0  0 2025-09-16 21:50:57
 4  0      0  10720    152   4583    0    0     0     0 1263 1715 40 11 49  0  0 2025-09-16 21:50:58
 4  0      0  10630    152   4583    0    0     0     0 1188  685 90  4  6  0  0 2025-09-16 21:50:59
 4  0      0  10622    152   4583    0    0     0     0 1122  336 100  0  0  0  0 2025-09-16 21:51:00
 4  0      0  10597    152   4583    0    0     0    52 1123  349 99  1  0  0  0 2025-09-16 21:51:01
 5  0      0  10562    152   4583    0    0     0     0 1147  471 98  2  0  0  0 2025-09-16 21:51:02
