  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:48:30      4.98      4.63
21:48:31      0.70      0.69
21:48:32      0.77      0.65
21:48:33      0.92      0.49
21:48:34      1.14      1.45
21:48:35      0.41      0.38
21:48:36      6.80      4.15
21:48:37      0.69      0.46
21:48:38      0.42      0.42
21:48:39      0.41      0.47
21:48:40      0.72      0.60
21:48:41      0.35      0.32
21:48:42      0.71      0.57
21:48:43      0.58      0.49
21:48:44      0.72      0.75
21:48:45      0.35      0.32
21:48:46      0.42      0.42
21:48:47      0.70      0.53
21:48:48      0.66      0.60
21:48:49      0.41      0.47
21:48:50      0.65      0.60
21:48:51      0.64      0.60
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:48:52      1.31      1.09
21:48:53      0.62      0.65
21:48:54      0.76      0.89
21:48:55      0.62      0.64
21:48:56      0.70      0.75
21:48:57      1.44      1.15
21:48:58      0.80      0.77
21:48:59      1.02      0.80
21:49:00      0.70      0.74
21:49:01      0.62      0.63
21:49:02      1.39      0.95
21:49:03      1.09      1.00
21:49:04      0.77      0.89
21:49:05      0.96      0.63
21:49:06      1.17      1.11
21:49:07      0.98      0.84
21:49:08      0.70      0.74
21:49:09      0.69      0.79
21:49:10      0.70      0.74
21:49:11      0.77      0.63
21:49:12      0.88      0.91
21:49:13      0.62      0.63
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:14      0.76      0.89
21:49:15      1.08      0.99
21:49:16      0.94      0.91
21:49:17      5.38      5.28
21:49:18      1.99      1.78
21:49:19      1.51      1.52
21:49:20      1.38      1.58
21:49:21      1.45      1.68
21:49:22      1.70      1.81
21:49:23      1.36      1.45
21:49:24      1.47      1.62
21:49:25      1.44      1.41
21:49:26      1.56      1.56
21:49:27      1.52      1.57
21:49:28      1.71      1.50
21:49:29      1.63      1.61
21:49:30      1.15      1.27
21:49:31      2.06      1.94
21:49:32      1.46      1.65
21:49:33      1.61      1.51
21:49:34      1.59      1.71
21:49:35      1.57      1.66
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:36      1.35      1.66
21:49:37      1.46      1.72
21:49:38      1.11      1.41
21:49:39      1.43      1.82
21:49:40      1.24      1.40
21:49:41      1.53      1.58
21:49:42      1.37      1.63
21:49:43      1.54      1.53
21:49:44      1.46      1.65
21:49:45      1.58      1.66
21:49:46      1.56      1.54
21:49:47      2.12      2.12
21:49:48      1.40      1.50
21:49:49      1.41      1.59
21:49:50      1.26      1.41
21:49:51      1.54      1.58
21:49:52      1.58      1.78
21:49:53      1.45      1.66
21:49:54      1.44      1.72
21:49:55      1.37      1.52
21:49:56      1.49      1.44
21:49:57      2.06      1.97
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:58      1.24      1.38
21:49:59      1.51      1.75
21:50:00      1.72      1.56
21:50:01      1.66      1.73
21:50:02      1.47      1.79
21:50:03      1.85      1.66
21:50:04      1.39      1.71
21:50:05      1.54      1.68
21:50:06      1.63      1.66
21:50:07      1.58      1.59
21:50:08      1.27      1.41
21:50:09      1.52      1.70
21:50:10      1.12      1.30
21:50:11      1.79      1.86
21:50:12      1.18      1.55
21:50:13      1.52      1.67
21:50:14      1.39      1.71
21:50:15      1.60      1.67
21:50:16      1.59      1.47
21:50:17      1.52      1.82
21:50:18      1.10      1.34
21:50:19      1.58      1.82
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:50:20      1.08      1.33
21:50:21      1.68      1.82
21:50:22      1.34      1.43
21:50:23      1.52      1.77
21:50:24      1.71      2.10
21:50:25      1.67      1.83
21:50:26      2.26      2.19
21:50:27      1.46      1.51
21:50:28      1.62      1.74
21:50:29      2.13      2.06
21:50:30      1.47      1.63
21:50:31      1.95      1.84
21:50:32      1.67      1.64
21:50:33      2.12      2.38
21:50:34      1.08      1.59
21:50:35      1.60      1.84
21:50:36      1.76      1.83
21:50:37      1.57      1.81
21:50:38      1.57      2.09
21:50:39      1.78      2.05
21:50:40      1.78      1.93
21:50:41      2.24      2.34
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:50:42      1.39      1.87
21:50:43      1.79      1.78
21:50:44      1.69      1.85
21:50:45      1.66      1.72
21:50:46      1.84      1.84
21:50:47      1.97      2.47
21:50:48      1.67      2.02
21:50:49      1.33      1.68
21:50:50      1.87      2.21
21:50:51      1.73      1.88
21:50:52      1.32      1.74
21:50:53      2.01      2.22
21:50:54      1.67      1.86
21:50:55      2.13      1.98
21:50:56      1.51      1.71
21:50:57      1.79      2.12
21:50:58      7.75      8.95
21:50:59      1.31      1.49
21:51:00      1.36      1.48
21:51:01      1.50      1.28
21:51:02      1.21      1.70
21:51:03      1.43      1.61
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:51:04      1.52      1.82
21:51:05      1.07      1.08
21:51:06      2.16      2.54
21:51:07      1.26      1.24
21:51:08      1.68      1.96
21:51:09      1.04      1.08
21:51:10      1.48      1.77
21:51:11      1.56      1.47
21:51:12      1.36      1.58
21:51:13      1.13      1.15
21:51:14      1.57      1.88
21:51:15      1.21      1.50
