  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:48:51      7.40      7.46
21:48:52      0.88      0.88
21:48:53      0.70      0.69
21:48:54      0.58      0.45
21:48:55      0.80      1.02
21:48:56      0.57      0.70
21:48:57      6.94      4.44
21:48:58      0.52      0.49
21:48:59      1.04      0.48
21:49:00      0.35      0.53
21:49:01      0.55      0.64
21:49:02      0.68      0.44
21:49:03      0.94      0.78
21:49:04      0.58      0.48
21:49:05      0.87      0.63
21:49:06      0.81      0.95
21:49:07      0.54      0.42
21:49:08      0.29      0.32
21:49:09      0.78      0.55
21:49:10      0.35      0.53
21:49:11      0.55      0.64
21:49:12      0.52      0.56
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:13      0.48      0.42
21:49:14      0.87      0.78
21:49:15      1.28      1.43
21:49:16      0.86      0.96
21:49:17      0.76      0.74
21:49:18      0.62      0.63
21:49:19      1.11      0.87
21:49:20      4.57      5.05
21:49:21      1.74      1.98
21:49:22      1.48      1.66
21:49:23      1.42      1.41
21:49:24      1.76      1.62
21:49:25      1.51      1.78
21:49:26      1.24      1.37
21:49:27      1.39      1.50
21:49:28      1.55      1.26
21:49:29      1.88      1.93
21:49:30      1.52      1.57
21:49:31      1.58      1.56
21:49:32      1.46      1.73
21:49:33      1.38      1.41
21:49:34      2.00      1.57
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:35      1.21      1.54
21:49:36      1.63      1.75
21:49:37      0.95      0.97
21:49:38      1.25      1.39
21:49:39      1.60      1.70
21:49:40      1.44      1.58
21:49:41      1.24      1.58
21:49:42      1.32      1.54
21:49:43      1.14      1.12
21:49:44      1.91      1.96
21:49:45      1.21      1.42
21:49:46      1.53      1.89
21:49:47      1.48      1.64
21:49:48      1.29      1.44
21:49:49      1.17      0.99
21:49:50      1.46      1.82
21:49:51      1.15      1.40
21:49:52      1.26      1.54
21:49:53      1.38      1.40
21:49:54      1.81      1.86
21:49:55      1.21      1.32
21:49:56      1.45      1.67
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:57      1.51      1.41
21:49:58      1.23      1.43
21:49:59      1.60      1.32
21:50:00      1.91      1.55
21:50:01      1.15      1.26
21:50:02      1.24      1.51
21:50:03      1.72      1.62
21:50:04      1.74      1.79
21:50:05      1.15      1.31
21:50:06      1.69      1.72
21:50:07      1.47      1.43
21:50:08      1.44      1.66
21:50:09      1.46      1.50
21:50:10      1.52      1.60
21:50:11      1.17      1.41
21:50:12      1.42      1.57
21:50:13      1.21      1.55
