procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0  11037    151   4577    0    0     0     3    8    7  2  0 98  0  0 2025-09-16 21:48:50
 0  0      0  11025    151   4577    0    0     0     4  549  945  4  1 95  0  0 2025-09-16 21:48:51
 0  0      0  11024    151   4577    0    0     0    72  228  259  1  0 100  0  0 2025-09-16 21:48:52
 0  0      0  11024    151   4577    0    0     0     0  155  196  0  0 100  0  0 2025-09-16 21:48:53
 0  0      0  11024    151   4577    0    0     0     0  124  186  0  0 100  0  0 2025-09-16 21:48:54
 0  0      0  11023    151   4577    0    0     0     0  255  306  1  0 99  0  0 2025-09-16 21:48:55
 0  0      0  11023    151   4577    0    0     0     0  188  232  1  0 100  0  0 2025-09-16 21:48:56
 0  0      0  11023    151   4577    0    0     0    24  214  265  1  0 98  0  0 2025-09-16 21:48:57
 0  0      0  11023    151   4577    0    0     0     0  125  182  0  0 100  0  0 2025-09-16 21:48:58
 0  0      0  11023    151   4577    0    0     0     0  151  206  0  0 100  0  0 2025-09-16 21:48:59
 0  0      0  11023    151   4577    0    0     0     0  118  165  0  0 100  0  0 2025-09-16 21:49:00
 0  0      0  11023    151   4577    0    0     0     0  142  195  0  0 100  0  0 2025-09-16 21:49:01
 0  0      0  11023    151   4577    0    0     0    20  134  189  0  0 100  0  0 2025-09-16 21:49:02
 0  0      0  11023    151   4577    0    0     0     0  141  199  0  0 100  0  0 2025-09-16 21:49:03
 0  0      0  11023    151   4577    0    0     0     0  152  207  0  0 100  0  0 2025-09-16 21:49:04
 0  0      0  11023    151   4577    0    0     0     0  138  189  0  0 100  0  0 2025-09-16 21:49:05
 0  0      0  11023    151   4577    0    0     0     0  137  230  0  0 100  0  0 2025-09-16 21:49:06
 0  0      0  11023    151   4577    0    0     0    20  146  189  0  0 100  0  0 2025-09-16 21:49:07
 0  0      0  11023    151   4577    0    0     0     0  116  158  0  0 100  0  0 2025-09-16 21:49:08
 0  0      0  11023    151   4577    0    0     0     0  136  200  0  0 100  0  0 2025-09-16 21:49:09
 0  0      0  11023    151   4577    0    0     0     0  128  176  0  0 100  0  0 2025-09-16 21:49:10
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0  11023    151   4577    0    0     0     0  137  221  0  0 100  0  0 2025-09-16 21:49:11
 0  0      0  11023    151   4577    0    0     0    20  129  187  0  0 100  0  0 2025-09-16 21:49:12
