Linux 5.4.0-216-generic (cloud3gxie) 	09/16/25 	_x86_64_	(4 CPU)

21:48:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:48:51     all    4.28    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   94.96
21:48:52     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
21:48:53     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:48:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:48:55     all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
21:48:56     all    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
21:48:57     all    1.50    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   98.25
21:48:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:48:59     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:49:00     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:49:01     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:49:02     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:49:03     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
21:49:04     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:49:05     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:49:06     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
21:49:07     all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
21:49:08     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:49:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:49:10     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:49:11     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:49:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:49:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:49:14     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
21:49:15     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:49:16     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:49:17     all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
21:49:18     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:49:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:49:20     all    7.00   31.25    5.75    0.00    0.00    0.75    0.00    0.00    0.00   55.25
21:49:21     all    5.50   88.50    2.50    0.00    0.00    0.00    0.00    0.00    0.00    3.50
21:49:22     all    4.50   91.75    3.25    0.00    0.00    0.00    0.00    0.00    0.00    0.50
21:49:23     all    6.45   89.08    0.99    0.00    0.00    0.25    0.00    0.00    0.00    3.23
21:49:24     all    8.02   86.47    0.25    0.00    0.00    0.00    0.00    0.00    0.00    5.26
21:49:25     all    7.81   91.69    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.25
21:49:26     all   11.50   88.25    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21:49:27     all    8.73   80.30    0.25    0.00    0.00    0.00    0.25    0.00    0.00   10.47
21:49:28     all    9.82   83.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.55
21:49:29     all    9.68   85.86    0.25    0.00    0.00    0.25    0.00    0.00    0.00    3.97
21:49:30     all    4.77   95.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21:49:31     all    9.95   87.81    0.50    0.00    0.00    0.25    0.00    0.00    0.00    1.49
21:49:32     all   15.42   80.35    1.00    0.00    0.00    0.00    0.00    0.00    0.00    3.23
21:49:33     all    8.19   88.09    0.50    0.00    0.00    0.00    0.00    0.00    0.00    3.23
21:49:34     all   12.00   85.75    0.25    0.00    0.00    0.00    0.25    0.00    0.00    1.75
21:49:35     all    5.99   90.02    0.25    0.00    0.00    0.00    0.00    0.00    0.00    3.74
21:49:36     all    2.01   97.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.75
21:49:37     all    2.00   96.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.25
21:49:38     all    8.68   89.58    0.50    0.00    0.00    0.00    0.00    0.00    0.00    1.24
21:49:39     all    8.08   87.12    0.25    0.00    0.00    0.00    0.00    0.00    0.00    4.55
21:49:40     all    2.76   92.71    0.25    0.00    0.00    0.00    0.00    0.00    0.00    4.27
21:49:41     all   10.47   85.79    1.25    0.00    0.00    0.25    0.00    0.00    0.00    2.24
21:49:42     all    7.73   91.02    0.25    0.00    0.00    0.00    0.00    0.00    0.00    1.00
21:49:43     all    8.27   90.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.75
21:49:44     all    5.25   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.75
21:49:45     all    2.50   96.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00    0.75
21:49:46     all   14.29   84.46    0.25    0.00    0.00    0.00    0.00    0.00    0.00    1.00
21:49:47     all    6.48   92.02    0.25    0.00    0.00    0.00    0.00    0.00    0.00    1.25
21:49:48     all    0.99   76.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00   22.08
21:49:49     all    0.75   97.26    0.25    0.00    0.00    0.25    0.00    0.00    0.00    1.50
21:49:50     all    4.71   93.55    0.25    0.00    0.00    0.00    0.00    0.00    0.00    1.49
21:49:51     all    8.23   89.28    0.75    0.00    0.00    0.00    0.25    0.00    0.00    1.50
21:49:52     all    2.49   94.01    0.25    0.00    0.00    0.00    0.00    0.00    0.00    3.24
21:49:53     all    2.01   93.97    0.25    0.00    0.00    0.00    0.00    0.00    0.00    3.77
21:49:54     all    5.74   93.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.75
21:49:55     all    5.49   92.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.49
21:49:56     all    8.71   87.81    0.50    0.00    0.00    0.00    0.00    0.00    0.00    2.99
21:49:57     all    7.29   92.21    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.25
21:49:58     all    2.24   96.52    0.25    0.00    0.00    0.00    0.00    0.00    0.00    1.00
21:49:59     all    2.01   90.45    0.25    0.00    0.00    0.00    0.25    0.00    0.00    7.04
21:50:00     all    5.47   92.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.49
21:50:01     all    9.80   81.91    0.25    0.00    0.00    0.00    0.00    0.00    0.00    8.04
21:50:02     all    4.23   94.78    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.50
21:50:03     all   10.61   88.89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.51
21:50:04     all    3.23   93.78    0.50    0.00    0.00    0.00    0.00    0.00    0.00    2.49
21:50:05     all    2.26   94.99    0.25    0.00    0.00    0.00    0.25    0.00    0.00    2.26
21:50:06     all   10.00   86.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00    3.25
21:50:07     all    5.97   92.79    0.50    0.00    0.00    0.25    0.00    0.00    0.00    0.50
21:50:08     all    4.96   92.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.23
21:50:09     all    3.75   94.25    0.25    0.00    0.00    0.00    0.00    0.00    0.00    1.75
21:50:10     all   20.10   75.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.52
21:50:11     all    6.78   92.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01
