  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:52:03      1.42      1.63
21:52:04      1.85      2.02
21:52:05      1.46      1.67
21:52:06      2.04      2.21
21:52:07      1.88      1.83
21:52:08      1.74      2.00
21:52:09      2.39      2.22
21:52:10      2.20      2.34
21:52:11      1.76      1.95
21:52:12      1.77      1.91
21:52:13      1.60      1.61
21:52:14      1.60      1.72
21:52:15      1.67      1.68
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:52:16      2.04      2.13
21:52:17      1.80      2.03
21:52:18      1.74      1.72
21:52:19      1.76      1.73
21:52:20      1.32      1.58
21:52:21      1.72      1.92
21:52:22      1.95      1.77
21:52:23      1.60      1.73
21:52:24      1.68      1.99
21:52:25      1.88      1.71
21:52:26      1.83      2.12
21:52:27      1.77      2.02
21:52:28      2.01      1.92
21:52:29      1.67      1.88
21:52:30      2.03      2.10
21:52:31      1.76      2.02
21:52:32      1.74      2.14
21:52:33      1.94      2.04
21:52:34      1.70      2.00
21:52:35      1.53      1.30
21:52:36      1.91      2.21
21:52:37      1.66      1.88
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:52:38      1.45      1.71
21:52:39      1.54      1.80
21:52:40      1.99      1.89
21:52:41      1.58      1.95
21:52:42      1.86      2.12
21:52:43      1.59      1.73
21:52:44      1.55      1.84
21:52:45      1.89      2.11
21:52:46      1.65      1.97
21:52:47      1.89      2.08
21:52:48      1.65      1.72
21:52:49     37.13      3.81
21:52:50      2.04      2.15
21:52:51      1.64      1.52
21:52:52      1.59      1.76
21:52:53      1.60      1.89
21:52:54      1.85      1.75
21:52:55      1.77      2.04
21:52:56      1.75      1.96
21:52:57      1.71      1.80
21:52:58      1.84      2.09
21:52:59      1.83      1.71
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:53:00      1.97      2.00
21:53:01      1.67      2.09
21:53:02      1.81      2.13
21:53:03      1.46      1.66
21:53:04      1.68      2.06
21:53:05      1.97      2.03
21:53:06      1.94      2.21
21:53:07      1.40      1.63
21:53:08      1.67      1.82
21:53:09      1.67      1.88
21:53:10      2.03      2.21
21:53:11      1.60      1.88
21:53:12      1.54      1.92
21:53:13      1.61      1.68
21:53:14      1.61      1.77
21:53:15      1.90      1.75
21:53:16      1.68      1.98
21:53:17      1.76      2.04
21:53:18      1.38      1.60
21:53:19      1.67      1.93
21:53:20      2.09      2.05
21:53:21      1.58      1.79
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:53:22      2.08      2.22
21:53:23      1.99      1.81
21:53:24      1.89      2.22
21:53:25      1.83      1.71
21:53:26      2.14      2.07
21:53:27      2.27      2.19
21:53:28      1.55      1.84
21:53:29      1.46      1.73
21:53:30      1.81      1.78
21:53:31      1.66      1.87
21:53:32      1.37      1.75
21:53:33      1.73      1.78
21:53:34      4.64      5.69
21:53:35      4.31      4.32
21:53:36      1.77      2.17
21:53:37      1.59      1.83
21:53:38      1.97      2.22
21:53:39      1.46      1.74
21:53:40      1.97      1.95
21:53:41      1.44      1.67
21:53:42      2.22      2.31
21:53:43      1.62      1.56
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:53:44      1.76      2.00
21:53:45      1.76      1.75
21:53:46      1.65      1.98
21:53:47      2.20      2.29
21:53:48      1.68      2.00
21:53:49      1.61      1.50
21:53:50      2.10      2.31
21:53:51      1.50      1.88
21:53:52      2.02      2.16
21:53:53      1.54      1.71
21:53:54      1.54      1.79
21:53:55      2.43      2.18
21:53:56      1.86      2.13
21:53:57      1.84      2.22
21:53:58      1.62      1.80
21:53:59      1.56      1.76
21:54:00      1.90      1.91
21:54:01      1.95      2.20
21:54:02      1.60      1.75
21:54:03      1.68      1.89
21:54:04      1.84      2.16
21:54:05      1.72      1.85
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:54:06      2.15      2.45
21:54:07      1.88      2.07
21:54:08      1.75      1.99
21:54:09      1.74      2.04
21:54:10      2.16      2.15
21:54:11      1.90      2.03
21:54:12      1.88      2.30
21:54:13      2.04      2.21
21:54:14      1.55      1.84
21:54:15      1.91      2.02
21:54:16      1.60      1.92
21:54:17      1.54      1.84
21:54:18      1.81      1.64
21:54:19      1.75      1.86
21:54:20      1.90      1.99
21:54:21      2.07      2.08
21:54:22      1.77      2.07
21:54:23      1.44      1.57
21:54:24      2.41      2.19
21:54:25      1.93      2.04
21:54:26      1.91      2.12
21:54:27      1.74      2.03
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:54:28      1.75      1.99
21:54:29      1.67      1.88
21:54:30      1.96      2.05
21:54:31      1.52      1.88
21:54:32      1.47      1.77
21:54:33      1.35      1.53
21:54:34      1.48      1.83
21:54:35      1.89      1.94
21:54:36      1.81      2.13
21:54:37      1.46      1.88
21:54:38      1.56      1.67
21:54:39      1.44      1.71
21:54:40      2.22      1.89
21:54:41      1.73      2.03
21:54:42      1.81      2.15
21:54:43      1.61      1.72
21:54:44      1.71      2.00
21:54:45      1.96      2.01
21:54:46      1.61      2.00
21:54:47      1.83      1.93
21:54:48      1.55      1.64
21:54:49      1.47      1.75
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:54:50      2.16      1.86
21:54:51      1.74      1.97
21:54:52      1.68      2.00
21:54:53      1.77      1.71
21:54:54      1.81      2.00
21:54:55      1.96      2.06
21:54:56      1.87      2.14
21:54:57      1.74      2.04
21:54:58      1.68      1.82
21:54:59      1.73      1.88
21:55:00      1.93      1.97
21:55:01      1.66      1.82
21:55:02      1.39      1.86
21:55:03      1.68      2.02
21:55:04      1.81      1.81
21:55:05      1.81      2.03
21:55:06      1.83      2.01
21:55:07      1.60      1.89
21:55:08      1.50      1.84
21:55:09      2.10      2.15
21:55:10      1.90      2.04
21:55:11      1.74      1.85
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:55:12      1.67      2.03
21:55:13      1.74      1.81
21:55:14      1.60      1.88
21:55:15      2.10      2.19
21:55:16      1.95      1.88
21:55:17      1.79      2.13
21:55:18      1.29      1.52
21:55:19      1.98      1.83
21:55:20      1.49      1.75
21:55:21      1.66      1.83
21:55:22      1.85      1.84
21:55:23      1.82      2.05
21:55:24      1.47      1.73
21:55:25      2.16      2.26
21:55:26      1.68      1.88
21:55:27      1.87      2.14
21:55:28      1.62      1.88
21:55:29      1.87      1.97
21:55:30      1.97      2.09
21:55:31      1.87      1.98
21:55:32      1.83      2.02
21:55:34      1.67      1.98
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:55:35      1.66      1.88
21:55:36      1.89      2.05
21:55:37      1.34      1.53
21:55:38      1.66      2.05
21:55:39      1.27      1.54
21:55:40      1.61      1.83
21:55:41      1.80      1.96
21:55:42      1.90      1.88
21:55:43      1.67      2.02
21:55:44      1.57      1.83
21:55:45      1.61      1.87
21:55:46      2.43      2.19
21:55:47      1.62      1.87
21:55:48      2.09      2.15
21:55:49      1.88      1.71
21:55:50      1.74      2.00
21:55:51      1.62      1.95
21:55:52      1.87      1.65
21:55:53      1.55      1.71
21:55:54      1.74      1.73
21:55:55      1.62      1.92
21:55:56      2.46      2.41
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:55:57      1.62      1.88
21:55:58      1.86      2.15
21:55:59      1.60      1.88
21:56:00      1.80      2.00
21:56:01      1.91      2.04
21:56:02      1.81      1.99
21:56:03      1.62      1.87
21:56:04      1.80      1.99
21:56:05      1.54      1.88
21:56:06      1.96      1.98
21:56:07      1.08      1.52
21:56:08      1.66      1.91
21:56:09      1.28      1.48
21:56:10      1.47      1.83
21:56:11      1.84      2.22
21:56:12      2.04      2.17
21:56:13      1.67      2.03
21:56:14      2.14      1.73
21:56:15      1.62      1.88
21:56:16      1.80      1.97
21:56:17      1.95      1.88
21:56:18      6.09      7.03
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:56:19      2.52      2.81
21:56:20      2.93      2.84
21:56:21      1.97      2.01
21:56:22      1.65      1.90
21:56:23      1.72      2.03
21:56:24      1.82      2.01
21:56:25      1.77      1.98
21:56:26      2.22      2.30
21:56:27      1.97      2.17
21:56:28      2.32      2.46
21:56:29      1.49      1.75
21:56:30      1.89      2.01
21:56:31      2.02      2.04
21:56:32      1.56      1.61
21:56:33      1.68      2.13
21:56:34      2.04      2.31
21:56:35      1.68      1.90
21:56:36      2.04      1.88
21:56:37      1.29      1.69
21:56:38      2.16      2.52
21:56:39      1.32      1.55
21:56:40      1.82      2.16
