procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0  11034    151   4578    0    0     0     3    8    7  1  0 99  0  0 2025-09-16 21:48:35
 0  0      0  11021    151   4578    0    0     0     4  498  628  4  1 95  0  0 2025-09-16 21:48:36
 0  0      0  11021    151   4578    0    0     0    56  211  263  0  0 100  0  0 2025-09-16 21:48:37
 0  0      0  11021    151   4578    0    0     0     0  253  328  0  1 99  0  0 2025-09-16 21:48:38
 0  0      0  11021    151   4578    0    0     0     0  102  157  0  0 100  0  0 2025-09-16 21:48:39
 1  0      0  11021    151   4578    0    0     0     0  293  414  1  0 99  0  0 2025-09-16 21:48:40
 0  0      0  11021    151   4578    0    0     0     0  208  265  0  0 100  0  0 2025-09-16 21:48:41
 0  0      0  11021    151   4578    0    0     0    20  189  252  2  0 98  0  0 2025-09-16 21:48:42
 0  0      0  11021    151   4578    0    0     0     0  123  181  0  0 100  0  0 2025-09-16 21:48:43
 0  0      0  11021    151   4578    0    0     0     0  129  184  0  0 100  0  0 2025-09-16 21:48:44
 0  0      0  11021    151   4578    0    0     0     0  111  181  0  0 100  0  0 2025-09-16 21:48:45
 0  0      0  11021    151   4578    0    0     0     0  140  205  0  0 100  0  0 2025-09-16 21:48:46
 0  0      0  11021    151   4578    0    0     0    16  131  199  0  0 100  0  0 2025-09-16 21:48:47
 0  0      0  11021    151   4578    0    0     0     0  145  197  0  0 100  0  0 2025-09-16 21:48:48
 0  0      0  11021    151   4578    0    0     0     0  113  185  0  0 100  0  0 2025-09-16 21:48:49
 0  0      0  11021    151   4578    0    0     0     0  128  170  0  0 100  0  0 2025-09-16 21:48:50
 0  0      0  11021    151   4578    0    0     0     0  159  246  0  0 100  0  0 2025-09-16 21:48:51
 0  0      0  11021    151   4578    0    0     0    16  145  217  0  0 100  0  0 2025-09-16 21:48:52
 0  0      0  11021    151   4578    0    0     0     0  123  184  0  0 100  0  0 2025-09-16 21:48:53
 0  0      0  11021    151   4578    0    0     0     0  122  165  0  0 100  0  0 2025-09-16 21:48:54
 0  0      0  11021    151   4578    0    0     0     0  123  170  0  0 100  0  0 2025-09-16 21:48:55
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0  11021    151   4578    0    0     0     0  142  206  0  0 100  0  0 2025-09-16 21:48:56
 0  0      0  11021    151   4578    0    0     0    16  142  237  0  0 100  0  0 2025-09-16 21:48:57
 0  0      0  11021    151   4578    0    0     0     0  146  198  0  0 100  0  0 2025-09-16 21:48:58
 0  0      0  11021    151   4578    0    0     0     0  121  169  0  0 100  0  0 2025-09-16 21:48:59
 0  0      0  11021    151   4578    0    0     0     0  120  175  0  0 100  0  0 2025-09-16 21:49:00
 0  0      0  11021    151   4578    0    0     0     0  146  224  0  0 100  0  0 2025-09-16 21:49:01
 0  0      0  11021    151   4578    0    0     0    16  143  206  0  0 100  0  0 2025-09-16 21:49:02
 0  0      0  11021    151   4578    0    0     0     0  130  193  0  0 100  0  0 2025-09-16 21:49:03
 0  0      0  11021    151   4578    0    0     0     0  132  187  0  0 100  0  0 2025-09-16 21:49:04
 0  0      0  11021    151   4578    0    0     0    48  151  204  0  0 100  0  0 2025-09-16 21:49:05
 0  0      0  11021    151   4578    0    0     0     0  162  252  0  0 100  0  0 2025-09-16 21:49:06
 0  0      0  11021    151   4578    0    0     0    16  141  229  0  0 100  0  0 2025-09-16 21:49:07
 0  0      0  11021    151   4578    0    0     0     0  154  210  0  0 100  0  0 2025-09-16 21:49:08
 0  0      0  11021    151   4578    0    0     0     0  126  196  0  0 100  0  0 2025-09-16 21:49:09
 0  0      0  11021    151   4578    0    0     0    40  139  187  0  0 100  0  0 2025-09-16 21:49:10
 0  0      0  11021    151   4578    0    0     0     0  134  223  0  0 100  0  0 2025-09-16 21:49:11
 0  0      0  11021    151   4578    0    0     0    32  160  239  0  0 99  0  0 2025-09-16 21:49:12
 0  0      0  11021    151   4578    0    0     0     0  138  209  0  0 100  0  0 2025-09-16 21:49:13
 0  0      0  11021    151   4578    0    0     0     0  127  185  0  0 100  0  0 2025-09-16 21:49:14
 0  0      0  11021    151   4578    0    0     0     0  128  214  0  0 100  0  0 2025-09-16 21:49:15
 0  0      0  11021    151   4578    0    0     0     0  150  226  0  0 100  0  0 2025-09-16 21:49:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  11021    151   4578    0    0     0    16  148  235  0  0 99  0  0 2025-09-16 21:49:17
 2  0      0  10944    151   4578    0    0     0     0  571 1568 12  3 84  0  0 2025-09-16 21:49:18
 1  0      0  10922    151   4578    0    0     0     0  553  572 24  3 73  0  0 2025-09-16 21:49:19
 2  0      0  10921    151   4578    0    0     0     0  524  547 25  0 74  0  0 2025-09-16 21:49:20
 1  0      0  10920    151   4578    0    0     0     0  425  456 25  0 74  0  0 2025-09-16 21:49:21
 1  0      0  10920    151   4578    0    0     0    36  441  486 25  1 74  0  0 2025-09-16 21:49:22
 2  0      0  10920    151   4578    0    0     0     0  430  448 25  1 74  0  0 2025-09-16 21:49:23
 2  0      0  10920    151   4579    0    0     0     0  507  533 25  1 73  0  0 2025-09-16 21:49:24
 1  0      0  10919    151   4579    0    0     0     0  490  511 26  1 74  0  0 2025-09-16 21:49:25
 2  0      0  10919    151   4579    0    0     0     0  424  478 25  0 74  0  0 2025-09-16 21:49:26
 2  0      0  10919    151   4579    0    0     0    16  415  472 25  1 74  0  0 2025-09-16 21:49:27
 2  0      0  10919    151   4579    0    0     0     0  452  512 25  1 74  0  0 2025-09-16 21:49:28
 2  0      0  10919    151   4579    0    0     0     0  515  537 26  1 73  0  0 2025-09-16 21:49:29
 2  0      0  10919    151   4579    0    0     0     0  486  515 25  0 74  0  0 2025-09-16 21:49:30
 2  0      0  10919    151   4579    0    0     0     0  410  464 25  0 74  0  0 2025-09-16 21:49:31
