  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:48:46      4.26      4.62
21:48:47      0.37      0.53
21:48:48      0.55      0.65
21:48:49      0.52      0.49
21:48:50      0.98      1.01
21:48:51      0.75      0.66
21:48:52      6.71      4.34
21:48:53      0.36      0.47
21:48:54      0.48      0.42
21:48:55      0.29      0.32
21:48:56      0.74      0.63
21:48:57      0.75      0.86
21:48:58      0.78      0.75
21:48:59      0.62      0.32
21:49:00      0.55      0.52
21:49:01      0.55      0.53
21:49:02      0.82      0.48
21:49:03      0.59      0.78
21:49:04      0.64      0.60
21:49:05      0.62      0.32
21:49:06      0.95      0.87
21:49:07      0.52      0.62
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:08      0.61      0.57
21:49:09      0.29      0.32
21:49:10      0.48      0.42
21:49:11      0.55      0.53
21:49:12      0.72      0.73
21:49:13      0.36      0.53
21:49:14      0.48      0.42
21:49:15      0.29      0.32
21:49:16      1.16      0.92
21:49:17      0.82      0.83
21:49:18      0.88      0.89
21:49:19      2.21      3.10
21:49:20      4.24      3.17
21:49:21      1.74      1.90
21:49:22      1.40      1.54
21:49:23      1.36      1.49
21:49:24      1.55      1.83
21:49:25      1.63      1.86
21:49:26      1.29      1.12
21:49:27      1.49      1.61
21:49:28      1.86      1.70
21:49:29      1.48      1.41
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:30      1.68      1.78
21:49:31      1.64      1.36
21:49:32      1.34      1.37
21:49:33      1.74      1.88
21:49:34      1.51      1.27
21:49:35      1.75      1.83
21:49:36      1.91      1.98
21:49:37      1.59      1.70
21:49:38      1.74      2.11
21:49:39      1.19      1.30
21:49:40      1.38      1.36
21:49:41      1.99      2.31
21:49:42      1.16      1.43
21:49:43      1.26      1.28
21:49:44      1.60      1.96
21:49:45      1.74      1.80
21:49:46      1.05      1.24
21:49:47      1.76      1.79
21:49:48      1.68      1.60
21:49:49      1.34      1.53
21:49:50      1.73      1.82
21:49:51      1.31      1.28
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:49:52      1.50      1.70
21:49:53      1.74      1.97
21:49:54      0.98      1.05
21:49:55      1.67      1.86
21:49:56      1.40      1.40
21:49:57      1.79      1.67
21:49:58      1.79      2.04
21:49:59      1.30      1.34
21:50:00      1.73      1.30
21:50:01      1.65      1.92
21:50:02      1.45      1.79
21:50:03      1.88      1.75
21:50:04      1.47      1.81
21:50:05      1.82      1.97
21:50:06      1.90      1.90
21:50:07      1.87      2.13
21:50:08      1.32      1.35
21:50:09      1.62      1.85
21:50:10      1.76      1.92
21:50:11      1.91      2.13
21:50:12      1.70      2.00
21:50:13      1.64      2.12
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:50:14      1.41      1.50
21:50:15      1.76      2.08
21:50:16      1.72      1.77
21:50:17      1.63      1.86
21:50:18      1.50      1.81
21:50:19      1.47      1.83
21:50:20      1.93      2.10
21:50:21      1.39      1.77
21:50:22      1.70      1.88
21:50:23      2.02      2.29
21:50:24      1.43      1.59
21:50:25      1.48      1.78
21:50:26      2.11      1.95
21:50:27      1.71      1.80
21:50:28      1.96      2.36
21:50:29      2.11      1.75
21:50:30      1.29      1.43
21:50:31      1.92      2.10
21:50:32      1.79      1.65
21:50:33      1.82      2.17
21:50:34      1.88      2.19
21:50:35      1.54      1.71
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:50:36      2.06      2.23
21:50:37      1.94      2.00
21:50:38      1.69      1.97
21:50:39      1.55      1.80
21:50:40      2.11      2.22
21:50:41      2.08      2.06
21:50:42      1.33      1.48
21:50:43      1.74      2.28
21:50:44      1.46      1.53
21:50:45      2.05      2.09
21:50:46      1.82      1.84
21:50:47      1.53      1.77
21:50:48      1.54      1.80
21:50:49      1.69      2.06
21:50:50      1.40      1.65
21:50:51      2.14      2.46
21:50:52      1.58      1.81
21:50:53      1.82      1.98
21:50:54      1.31      1.51
21:50:55      2.23      2.18
21:50:56      1.53      1.54
21:50:57      1.52      1.79
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:50:58      1.94      1.75
21:50:59      1.60      1.89
21:51:00      1.32      1.53
21:51:01      2.40      2.38
21:51:02      1.38      1.65
21:51:03      1.49      1.73
21:51:04      1.81      1.98
21:51:05      1.43      1.58
21:51:06      1.82      1.98
21:51:07      1.62      1.66
21:51:08      1.91      2.36
21:51:09      1.42      1.68
21:51:10      2.04      2.08
21:51:11      1.49      1.82
21:51:12      1.81      1.94
21:51:13      1.79      1.97
21:51:14      1.66      1.86
21:51:15      1.92      1.85
21:51:16      1.42      1.67
21:51:17      1.63      1.82
21:51:18      1.87      1.96
21:51:19      1.46      1.65
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:51:20      2.24      2.26
21:51:21      1.62      1.77
21:51:22      1.66      1.63
21:51:23      1.96      2.20
21:51:24      2.00      1.78
21:51:25      1.84      1.73
21:51:26      1.87      2.26
21:51:27      2.19      1.89
21:51:28      1.58      1.74
21:51:29      1.84      2.13
21:51:30      2.22      1.73
21:51:31      1.46      1.81
21:51:32      2.25      2.28
21:51:33      1.45      1.79
21:51:34      1.60      1.84
21:51:35      2.00      1.81
21:51:36      1.59      1.72
21:51:37      1.39      1.66
21:51:38      1.81      1.77
21:51:39      1.62      1.88
21:51:40      1.96      1.79
21:51:41      1.62      1.95
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:51:42      1.69      1.77
21:51:43      1.62      1.85
21:51:44      1.95      2.12
21:51:45      1.67      1.79
21:51:46      1.68      2.13
21:51:47      2.11      2.16
21:51:48      1.87      2.07
21:51:49      1.78      2.13
21:51:50      1.96      2.00
21:51:51      1.46      1.60
21:51:52      1.91      2.03
21:51:53      2.17      1.77
21:51:54      1.37      1.62
21:51:55      1.92      2.21
21:51:56      1.84      2.05
21:51:57      1.28      1.48
21:51:58      1.86      2.13
21:51:59      1.83      1.74
21:52:00      1.75      1.91
21:52:01      1.38      1.89
21:52:02      1.70      1.83
21:52:03      1.32      1.71
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:52:04      1.83      1.82
21:52:05      1.84      1.99
21:52:06      1.83      2.00
21:52:07      1.96      2.19
21:52:08      1.78      1.93
21:52:09      1.85      2.13
21:52:10      2.91      2.80
21:52:11      1.52      1.63
21:52:12      1.96      2.10
21:52:13      1.41      1.84
21:52:14      1.82      2.08
21:52:15      1.42      1.64
21:52:16      2.02      2.08
21:52:17      1.72      1.89
21:52:18      1.65      1.75
21:52:19      1.83      2.26
21:52:20      1.69      1.86
21:52:21      1.50      1.93
21:52:22      2.06      1.82
21:52:23      1.90      2.02
21:52:24      1.74      1.88
21:52:25      2.34      1.96
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:52:26      1.81      2.14
21:52:27      1.91      2.06
21:52:28      1.92      1.55
21:52:29      1.62      1.71
21:52:30      2.05      2.07
21:52:31      1.54      1.88
21:52:32      1.51      1.62
21:52:33      1.67      1.99
21:52:34      1.80      1.92
21:52:35      1.64      1.77
21:52:36      2.09      2.36
21:52:37      1.46      1.71
21:52:38      1.85      1.71
21:52:39      1.57      1.88
21:52:40      1.83      1.88
21:52:41      1.52      1.84
21:52:42      1.57      1.89
21:52:43      1.58      1.60
21:52:44      1.97      1.97
