procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0  10538    151   4580    0    0     0    20  786  509 48  0 52  0  0 2025-09-16 21:49:43
 3  0      0  10537    151   4580    0    0     0     0  856  677 47  0 53  0  0 2025-09-16 21:49:44
 2  0      0  10537    151   4580    0    0     0     0  899  701 48  1 51  0  0 2025-09-16 21:49:45
 3  0      0  10537    151   4580    0    0     0     0  851  678 47  1 52  0  0 2025-09-16 21:49:46
 2  0      0  10537    151   4580    0    0     0     0  798  665 46  0 54  0  0 2025-09-16 21:49:47
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10537    151   4580    0    0     0    84  813  587 48  0 52  0  0 2025-09-16 21:49:48
 1  0      0  10536    151   4581    0    0     0     0  820  565 48  1 52  0  0 2025-09-16 21:49:49
 3  0      0  10536    151   4581    0    0     0     0  901 1077 49  1 50  0  0 2025-09-16 21:49:50
 2  0      0  10536    151   4581    0    0     0     0  835  740 47  1 53  0  0 2025-09-16 21:49:51
 2  0      0  10536    151   4581    0    0     0     0  757  404 50  0 49  0  0 2025-09-16 21:49:52
 4  0      0  10536    151   4581    0    0     0  5164  817  553 49  0 50  0  0 2025-09-16 21:49:53
 2  0      0  10536    151   4581    0    0     0     0  818  587 48  1 51  0  0 2025-09-16 21:49:54
 4  0      0  10535    151   4582    0    0     0     0  863  676 48  1 51  0  0 2025-09-16 21:49:55
 2  0      0  10535    151   4582    0    0     0     0  843  940 48  1 52  0  0 2025-09-16 21:49:56
 2  0      0  10535    151   4582    0    0     0     0  819  655 49  0 50  0  0 2025-09-16 21:49:57
 3  0      0  10535    151   4582    0    0     0    20  744  559 46  0 54  0  0 2025-09-16 21:49:58
 3  0      0  10535    151   4582    0    0     0     0  798  531 48  0 52  0  0 2025-09-16 21:49:59
 2  0      0  10535    151   4582    0    0     0     0  858  689 47  1 53  0  0 2025-09-16 21:50:00
 3  0      0  10534    151   4583    0    0     0     0  903  841 46  1 53  0  0 2025-09-16 21:50:01
 2  0      0  10534    151   4583    0    0     0    28  810  583 48  0 52  0  0 2025-09-16 21:50:02
 2  0      0  10534    151   4583    0    0     0     0  848  714 47  0 53  0  0 2025-09-16 21:50:03
 2  0      0  10533    151   4583    0    0     0     0  784  651 48  1 51  0  0 2025-09-16 21:50:04
 2  0      0  10533    151   4584    0    0     0     0  888  715 48  1 50  0  0 2025-09-16 21:50:05
 3  0      0  10533    151   4584    0    0     0     0  850  748 48  1 52  0  0 2025-09-16 21:50:06
 1  0      0  10532    151   4584    0    0     0    20  772  595 48  0 52  0  0 2025-09-16 21:50:07
 3  0      0  10532    151   4584    0    0     0     0  783  593 46  0 54  0  0 2025-09-16 21:50:08
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10532    151   4584    0    0     0     0  778  538 48  0 52  0  0 2025-09-16 21:50:09
 4  0      0  10532    151   4584    0    0     0     0  858  666 50  1 50  0  0 2025-09-16 21:50:10
 4  0      0  10532    151   4584    0    0     0     0  861  619 47  1 52  0  0 2025-09-16 21:50:11
 2  0      0  10532    151   4585    0    0     0    20  779  727 47  1 53  0  0 2025-09-16 21:50:12
 2  0      0  10531    151   4585    0    0     0     0  868  687 48  0 52  0  0 2025-09-16 21:50:13
 2  0      0  10531    151   4585    0    0     0     0  760  511 49  0 51  0  0 2025-09-16 21:50:14
 2  0      0  10531    151   4585    0    0     0     0  868  628 50  1 50  0  0 2025-09-16 21:50:15
 2  0      0  10531    151   4585    0    0     0     0  863  619 48  0 51  0  0 2025-09-16 21:50:16
 3  0      0  10531    151   4585    0    0     0    20  841  703 47  0 53  0  0 2025-09-16 21:50:17
 2  0      0  10531    151   4586    0    0     0     0  824  592 48  0 52  0  0 2025-09-16 21:50:18
 3  0      0  10531    151   4586    0    0     0     0  796  531 48  0 52  0  0 2025-09-16 21:50:19
 3  0      0  10530    151   4586    0    0     0     0  881  741 49  0 51  0  0 2025-09-16 21:50:20
 3  0      0  10530    151   4586    0    0     0     0  795  532 46  1 53  0  0 2025-09-16 21:50:21
 2  0      0  10530    151   4586    0    0     0    20  827  649 47  0 53  0  0 2025-09-16 21:50:22
 3  0      0  10530    151   4587    0    0     0     0  832  571 49  0 51  0  0 2025-09-16 21:50:23
 3  0      0  10530    151   4587    0    0     0  5160  845  659 48  0 52  0  0 2025-09-16 21:50:24
 2  0      0  10529    151   4587    0    0     0     0  886  736 48  1 51  0  0 2025-09-16 21:50:25
 2  0      0  10529    151   4587    0    0     0     0  823  735 47  1 52  0  0 2025-09-16 21:50:26
 2  0      0  10529    151   4587    0    0     0    36  786  822 48  0 52  0  0 2025-09-16 21:50:27
 1  0      0  10529    151   4587    0    0     0     0  789  584 48  0 52  0  0 2025-09-16 21:50:28
 2  0      0  10529    151   4588    0    0     0     8  811  537 50  0 50  0  0 2025-09-16 21:50:29
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10529    151   4588    0    0     0     0  800  550 49  1 51  0  0 2025-09-16 21:50:30
