procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 6  0      0  10552    155   4922    0    0     0     3    1    1  1  0 98  0  0 2025-09-22 22:56:19
 0  0      0  10552    155   4922    0    0     0     4  408  592  2  1 97  0  0 2025-09-22 22:56:20
 0  0      0  10542    155   4922    0    0     0    92  423  525  3  1 96  0  0 2025-09-22 22:56:21
 0  0      0  10541    155   4922    0    0     0     0  383  607  0  1 99  0  0 2025-09-22 22:56:22
 0  0      0  10544    155   4922    0    0     0     0  430  538  1  1 98  0  0 2025-09-22 22:56:23
 0  0      0  10545    155   4922    0    0     0     0  189  231  0  0 100  0  0 2025-09-22 22:56:24
 0  0      0  10545    155   4922    0    0     0     0  248  299  1  0 99  0  0 2025-09-22 22:56:25
 0  0      0  10545    155   4922    0    0     0   296  358  400  2  0 98  0  0 2025-09-22 22:56:26
 0  0      0  10545    155   4922    0    0     0     0  178  230  0  0 100  0  0 2025-09-22 22:56:27
 0  0      0  10545    155   4922    0    0     0     0  179  229  0  0 100  0  0 2025-09-22 22:56:28
 0  0      0  10545    155   4922    0    0     0     0  156  185  0  0 100  0  0 2025-09-22 22:56:29
 0  0      0  10545    155   4922    0    0     0     0  178  243  0  0 100  0  0 2025-09-22 22:56:30
 0  0      0  10545    155   4922    0    0     0    20  167  230  0  0 100  0  0 2025-09-22 22:56:31
 0  0      0  10545    155   4922    0    0     0     0  187  236  0  0 100  0  0 2025-09-22 22:56:32
 0  0      0  10545    155   4922    0    0     0     0  161  203  0  0 100  0  0 2025-09-22 22:56:33
 0  0      0  10545    155   4922    0    0     0     0  166  205  0  0 100  0  0 2025-09-22 22:56:34
 1  0      0  10545    155   4922    0    0     0     0  157  199  0  0 100  0  0 2025-09-22 22:56:35
 1  0      0  10545    155   4922    0    0     0    20  177  246  0  0 100  0  0 2025-09-22 22:56:36
 0  0      0  10545    155   4922    0    0     0     0  165  210  0  0 100  0  0 2025-09-22 22:56:37
 0  0      0  10545    155   4922    0    0     0     0  178  247  0  0 100  0  0 2025-09-22 22:56:38
 0  0      0  10545    155   4922    0    0     0     0  168  238  0  0 100  0  0 2025-09-22 22:56:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10545    155   4922    0    0     0     0  174  245  0  0 100  0  0 2025-09-22 22:56:40
 0  0      0  10545    155   4922    0    0     0    20  167  269  0  0 100  0  0 2025-09-22 22:56:41
 0  0      0  10545    155   4922    0    0     0     0  191  270  0  0 100  0  0 2025-09-22 22:56:42
 0  0      0  10545    155   4922    0    0     0     0  162  255  0  0 100  0  0 2025-09-22 22:56:43
 0  0      0  10545    155   4922    0    0     0     0  182  260  0  0 100  0  0 2025-09-22 22:56:44
 0  0      0  10545    155   4922    0    0     0     0  161  246  0  0 100  0  0 2025-09-22 22:56:45
 0  0      0  10545    155   4922    0    0     0    20  198  296  0  0 100  0  0 2025-09-22 22:56:46
 0  0      0  10545    155   4922    0    0     0     0  172  235  0  0 100  0  0 2025-09-22 22:56:47
 0  0      0  10545    155   4922    0    0     0     0  195  269  0  0 100  0  0 2025-09-22 22:56:48
 0  0      0  10545    155   4922    0    0     0     0  161  220  0  0 100  0  0 2025-09-22 22:56:49
 0  0      0  10545    155   4922    0    0     0     0  172  236  0  0 100  0  0 2025-09-22 22:56:50
 0  0      0  10545    155   4922    0    0     0    20  187  290  0  0 100  0  0 2025-09-22 22:56:51
 0  0      0  10545    155   4922    0    0     0     0  266  396  1  0 100  0  0 2025-09-22 22:56:52
 0  0      0  10545    155   4922    0    0     0     0  180  272  0  0 100  0  0 2025-09-22 22:56:53
 0  0      0  10545    155   4922    0    0     0     0  191  256  0  0 100  0  0 2025-09-22 22:56:54
 0  0      0  10545    155   4922    0    0     0     0  165  237  0  0 100  0  0 2025-09-22 22:56:55
 0  0      0  10545    155   4922    0    0     0    20  202  307  0  0 99  0  0 2025-09-22 22:56:56
 0  0      0  10545    155   4922    0    0     0    64  189  236  0  0 100  0  0 2025-09-22 22:56:57
 0  0      0  10545    155   4922    0    0     0     0  191  264  0  0 100  0  0 2025-09-22 22:56:58
 0  0      0  10545    155   4922    0    0     0     0  166  229  0  0 100  0  0 2025-09-22 22:56:59
 0  0      0  10545    155   4922    0    0     0     0  181  251  0  0 100  0  0 2025-09-22 22:57:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10498    155   4922    0    0     0    56  856 1417  9  3 88  0  0 2025-09-22 22:57:01
 4  0      0  10258    155   4922    0    0     0     0 1269  959 84  7  9  0  0 2025-09-22 22:57:02
 4  0      0  10183    155   4922    0    0     0   192 1192  632 94  2  4  0  0 2025-09-22 22:57:03
 4  0      0  10156    155   4922    0    0     0     0 1119  405 99  1  0  0  0 2025-09-22 22:57:04
 4  0      0  10067    155   4922    0    0     0     0 1418 1235 92  5  2  0  0 2025-09-22 22:57:05
 4  0      0  10040    155   4922    0    0     0    48 1133  457 98  2  0  0  0 2025-09-22 22:57:06
 7  0      0  10014    155   4922    0    0     0     0 1257  791 96  2  2  0  0 2025-09-22 22:57:07
 4  0      0  10010    155   4922    0    0     0     0 1204  643 99  0  1  0  0 2025-09-22 22:57:08
 4  0      0  10010    155   4922    0    0     0     0 1124  418 99  0  2  0  0 2025-09-22 22:57:09
 4  0      0  10010    155   4922    0    0     0     0 1150  659 97  1  1  0  0 2025-09-22 22:57:10
 4  0      0  10010    155   4922    0    0     0    24 1132  447 99  0  1  0  0 2025-09-22 22:57:11
 7  0      0  10010    155   4922    0    0     0     0 1213  711 98  1  1  0  0 2025-09-22 22:57:12
 7  0      0  10010    155   4922    0    0     0     0 1220  644 99  1  1  0  0 2025-09-22 22:57:13
 4  0      0  10010    155   4922    0    0     0     0 1144  476 99  0  1  0  0 2025-09-22 22:57:14
 4  0      0  10010    155   4922    0    0     0     0 1200  586 99  1  1  0  0 2025-09-22 22:57:15
 4  0      0  10010    155   4922    0    0     0    20 1255  781 97  0  2  0  0 2025-09-22 22:57:16
 4  0      0  10010    155   4922    0    0     0     0 1157  534 99  1  0  0  0 2025-09-22 22:57:17
 4  0      0  10010    155   4922    0    0     0     0 1276  791 99  1  1  0  0 2025-09-22 22:57:18
 4  0      0  10010    155   4922    0    0     0     0 1180  524 99  0  1  0  0 2025-09-22 22:57:19
 4  0      0  10010    155   4922    0    0     0     0 1136  609 88  0 12  0  0 2025-09-22 22:57:20
 4  0      0  10010    155   4922    0    0     0    20 1160  484 100  0  0  0  0 2025-09-22 22:57:21
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0  10009    155   4922    0    0     0     0 1325 1042 90  1 10  0  0 2025-09-22 22:57:22
 4  0      0  10009    155   4922    0    0     0     0 1267  863 96  0  4  0  0 2025-09-22 22:57:23
 4  0      0  10009    155   4922    0    0     0     0 1084  313 100  0  1  0  0 2025-09-22 22:57:24
 4  0      0  10009    155   4922    0    0     0     0 1101  332 100  0  0  0  0 2025-09-22 22:57:25
 4  0      0  10009    155   4922    0    0     0    20 1160  568 99  0  0  0  0 2025-09-22 22:57:26
 4  0      0  10010    155   4922    0    0     0     0 1200  682 98  1  1  0  0 2025-09-22 22:57:27
 4  0      0  10009    155   4922    0    0     0     0 1194  695 98  0  2  0  0 2025-09-22 22:57:28
 4  0      0  10009    155   4922    0    0     0     0 1204  696 97  0  2  0  0 2025-09-22 22:57:29
 5  0      0  10009    155   4922    0    0     0     0 1224  826 100  0  0  0  0 2025-09-22 22:57:30
 4  0      0  10009    155   4922    0    0     0    20 1246  867 93  0  7  0  0 2025-09-22 22:57:31
 4  0      0  10009    155   4922    0    0     0     0 1180  592 99  1  0  0  0 2025-09-22 22:57:32
 4  0      0  10009    155   4922    0    0     0     4 1292  878 95  1  4  0  0 2025-09-22 22:57:33
 4  0      0  10009    155   4922    0    0     0     0 1179  553 99  0  0  0  0 2025-09-22 22:57:34
 4  0      0  10009    155   4922    0    0     0     0 1159  526 99  1  1  0  0 2025-09-22 22:57:35
 4  0      0  10008    155   4922    0    0     0    28 1251  899 99  1  0  0  0 2025-09-22 22:57:36
 4  0      0  10008    155   4922    0    0     0     0 1274 1057 97  1  2  0  0 2025-09-22 22:57:37
 4  0      0  10008    155   4922    0    0     0    36 1248  882 98  2  0  0  0 2025-09-22 22:57:38
 6  0      0  10008    155   4922    0    0     0     0 1167  720 89  0 11  0  0 2025-09-22 22:57:39
 4  0      0  10008    155   4922    0    0     0     0 1187  582 99  0  0  0  0 2025-09-22 22:57:40
 4  0      0  10008    155   4922    0    0     0    32 1148  494 98  0  2  0  0 2025-09-22 22:57:41
 4  0      0  10008    155   4922    0    0     0     0 1273  825 98  1  1  0  0 2025-09-22 22:57:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0  10008    155   4922    0    0     0     0 1244  773 99  1  0  0  0 2025-09-22 22:57:43
