  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:56:20      3.37      3.30
22:56:21      3.00      3.85
22:56:22      4.27      3.22
22:56:23      1.98      2.66
22:56:24      0.61      0.79
22:56:25      1.03      0.78
22:56:26      6.92      4.42
22:56:27      1.06      0.81
22:56:28      0.75      0.53
22:56:29      0.54      0.48
22:56:30      0.91      0.86
22:56:31      0.61      0.63
22:56:32      0.58      0.38
22:56:33      0.60      0.63
22:56:34      0.35      0.38
22:56:35      0.72      0.66
22:56:36      0.36      0.48
22:56:37      0.95      0.68
22:56:38      0.81      1.01
22:56:39      0.88      0.84
22:56:40      0.70      0.74
22:56:41      0.69      0.79
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:56:42      0.99      0.87
22:56:43      0.69      0.91
22:56:44      0.81      0.83
22:56:45      1.08      0.99
22:56:46      1.00      1.08
22:56:47      0.92      0.76
22:56:48      0.82      1.01
22:56:49      0.63      0.70
22:56:50      0.71      0.74
22:56:51      1.03      0.79
22:56:52      0.94      0.80
22:56:53      1.16      1.33
22:56:54      1.27      0.91
22:56:55      0.86      0.83
22:56:56      0.76      0.89
22:56:57      1.36      0.80
22:56:58      0.76      1.01
22:56:59      0.62      0.70
22:57:00      0.70      0.74
22:57:01      3.89      4.59
22:57:02      3.02      3.12
22:57:03      1.41      1.44
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:04      1.42      1.52
22:57:05      6.38      5.76
22:57:06      0.86      0.87
22:57:07      3.29      2.90
22:57:08      1.16      1.27
22:57:09      1.23      1.37
22:57:10      2.58      2.58
22:57:11      1.36      1.47
22:57:12      1.15      1.02
22:57:13      1.35      1.33
22:57:14      1.15      1.27
22:57:15      1.23      1.23
22:57:16      1.16      1.33
22:57:17      1.40      1.53
22:57:18      1.16      1.26
22:57:19      1.52      1.70
22:57:20      1.23      1.01
22:57:21      1.44      1.69
22:57:22      1.33      1.18
22:57:23      1.86      1.69
22:57:24      0.74      0.71
22:57:25      1.16      1.17
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:26      1.43      1.28
22:57:27      1.62      1.49
22:57:28      1.74      1.99
22:57:29      1.44      1.44
22:57:30      4.63      5.62
22:57:31      1.85      2.29
22:57:33      1.52      1.27
22:57:34      2.81      2.62
22:57:35      1.67      1.84
22:57:36      2.25      2.27
22:57:37     17.96     19.74
22:57:38      1.74      1.78
22:57:39      4.75      4.20
22:57:40      1.52      1.61
22:57:41      1.54      1.73
