procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10768    154   4788    0    0     0     3    5    4  2  0 98  0  0 2025-09-22 22:56:45
 0  0      0  10764    154   4788    0    0     0     4  357  499  2  0 98  0  0 2025-09-22 22:56:46
 0  0      0  10754    154   4788    0    0     0   104  548  760  3  1 96  0  0 2025-09-22 22:56:47
 0  0      0  10753    154   4788    0    0     0     0  241  296  1  0 99  0  0 2025-09-22 22:56:48
 1  0      0  10755    154   4788    0    0     0     0  271  332  0  1 99  0  0 2025-09-22 22:56:49
 0  0      0  10755    154   4788    0    0     0     0  162  246  0  0 100  0  0 2025-09-22 22:56:50
 0  0      0  10755    154   4788    0    0     0     0  243  298  1  0 99  0  0 2025-09-22 22:56:51
 0  0      0  10755    154   4788    0    0     0    20  294  348  2  1 98  0  0 2025-09-22 22:56:52
 0  0      0  10755    154   4788    0    0     0     8  169  234  0  0 100  0  0 2025-09-22 22:56:53
 0  0      0  10755    154   4788    0    0     0     0  172  250  0  0 100  0  0 2025-09-22 22:56:54
 0  0      0  10755    154   4788    0    0     0     0  174  247  0  0 100  0  0 2025-09-22 22:56:55
 0  0      0  10755    154   4788    0    0     0     0  136  208  0  0 100  0  0 2025-09-22 22:56:56
 0  0      0  10755    154   4788    0    0     0    32  167  242  0  0 100  0  0 2025-09-22 22:56:57
 0  0      0  10755    154   4788    0    0     0     0  143  202  0  0 100  0  0 2025-09-22 22:56:58
 0  0      0  10755    154   4788    0    0     0     0  158  225  0  0 100  0  0 2025-09-22 22:56:59
 0  0      0  10755    154   4788    0    0     0     0  152  211  0  0 100  0  0 2025-09-22 22:57:00
 0  0      0  10755    154   4788    0    0     0     0  168  223  0  0 100  0  0 2025-09-22 22:57:01
 0  0      0  10755    154   4788    0    0     0    16  154  228  0  0 100  0  0 2025-09-22 22:57:02
 0  0      0  10755    154   4788    0    0     0     0  148  202  0  0 100  0  0 2025-09-22 22:57:03
 0  0      0  10755    154   4788    0    0     0     0  152  244  0  0 100  0  0 2025-09-22 22:57:04
 0  0      0  10755    154   4788    0    0     0     0  170  267  0  0 100  0  0 2025-09-22 22:57:05
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0  10657    154   4788    0    0     0     0 1290 1959 21  6 72  0  0 2025-09-22 22:57:06
 3  0      0  10649    154   4788    0    0     0    60  605  565 26  2 73  0  0 2025-09-22 22:57:07
 1  0      0  10648    154   4788    0    0     0     8  569  532 25  0 75  0  0 2025-09-22 22:57:08
 2  0      0  10648    154   4788    0    0     0     0  558  570 26  0 74  0  0 2025-09-22 22:57:09
 2  0      0  10654    154   4788    0    0     0     0  504  452 25  1 74  0  0 2025-09-22 22:57:10
 2  0      0  10654    154   4788    0    0     0     0  487  411 25  0 75  0  0 2025-09-22 22:57:11
 2  0      0  10653    154   4788    0    0     0    16  667  704 25  1 74  0  0 2025-09-22 22:57:12
 2  0      0  10653    154   4788    0    0     0     0  557  511 25  0 75  0  0 2025-09-22 22:57:13
 2  0      0  10653    154   4788    0    0     0     0  531  499 26  1 74  0  0 2025-09-22 22:57:14
 1  0      0  10653    154   4788    0    0     0     0  511  426 25  0 75  0  0 2025-09-22 22:57:15
 2  0      0  10653    154   4788    0    0     0     0  518  435 26  1 74  0  0 2025-09-22 22:57:16
 1  0      0  10653    154   4788    0    0     0    16  607  569 25  1 74  0  0 2025-09-22 22:57:17
 1  0      0  10654    154   4788    0    0     0   336  607  544 26  0 74  0  0 2025-09-22 22:57:18
 2  0      0  10654    154   4788    0    0     0     0  502  416 25  0 75  0  0 2025-09-22 22:57:19
 4  0      0  10654    154   4788    0    0     0     0  498  419 25  1 75  0  0 2025-09-22 22:57:20
 3  0      0  10654    154   4788    0    0     0     0  483  396 26  0 74  0  0 2025-09-22 22:57:21
 2  0      0  10654    154   4788    0    0     0    36  559  506 26  1 74  0  0 2025-09-22 22:57:22
 2  0      0  10654    154   4789    0    0     0     4  587  586 25  1 74  0  0 2025-09-22 22:57:23
 2  0      0  10654    154   4789    0    0     0     0  479  411 26  0 74  0  0 2025-09-22 22:57:24
 2  0      0  10654    154   4789    0    0     0     0  485  412 25  1 75  0  0 2025-09-22 22:57:25
 3  0      0  10654    154   4789    0    0     0     0  537  513 26  0 74  0  0 2025-09-22 22:57:26
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
