  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:56:46      3.05      2.69
22:56:47      6.10      6.50
22:56:48      0.51      0.49
22:56:49      0.66      0.84
22:56:50      0.78      0.92
22:56:51      0.81      0.55
22:56:52      6.71      4.30
22:56:53      0.94      0.79
22:56:54      0.92      0.65
22:56:55      0.71      0.48
22:56:56      0.52      0.62
22:56:57      1.17      0.87
22:56:58      0.29      0.32
22:56:59      0.55      0.57
22:57:00      0.58      0.44
22:57:01      0.53      0.49
22:57:02      0.41      0.53
22:57:03      0.54      0.48
22:57:04      0.59      0.65
22:57:05      1.39      1.03
22:57:06      6.31      7.09
22:57:07      1.79      1.83
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:08      1.48      1.66
22:57:09      1.26      1.44
22:57:10      1.57      1.60
22:57:11      1.42      1.48
22:57:12      1.66      1.95
22:57:13      1.54      1.62
22:57:14      1.54      1.85
22:57:15      1.44      1.44
22:57:16      1.53      1.68
22:57:17      1.80      2.05
22:57:18      1.01      1.07
22:57:19      1.56      1.98
22:57:20      1.83      1.54
22:57:21      1.20      1.25
22:57:22      1.32      1.68
22:57:23      1.59      1.58
22:57:24      1.47      1.62
22:57:25      1.52      1.38
22:57:26      1.80      1.68
22:57:27      1.22      1.42
22:57:28      1.29      1.53
22:57:29      1.68      1.96
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:30      1.75      1.74
22:57:31      1.46      1.78
22:57:32      2.09      2.13
22:57:33      1.26      1.46
22:57:34      1.69      1.87
22:57:35      1.57      1.51
22:57:36      1.47      1.68
22:57:37      1.68      1.63
22:57:38      1.47      1.77
22:57:39      1.55      1.81
22:57:40      1.43      1.44
22:57:41      1.24      1.37
22:57:42      1.38      1.69
22:57:43      1.63      1.79
22:57:44      1.46      1.60
22:57:45      1.70      1.74
22:57:46      1.40      1.53
22:57:47      1.81      2.51
22:57:48      6.96      4.71
22:57:49      1.78      1.52
22:57:50      1.98      1.81
22:57:51      1.45      1.50
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:52      1.75      1.66
22:57:53      1.70      1.95
22:57:54      1.35      1.46
22:57:55      2.30      2.09
22:57:56      1.38      1.57
22:57:57      1.30      1.57
22:57:58      1.60      1.90
22:57:59      1.40      1.57
22:58:00      1.98      2.13
22:58:01      2.03      2.10
22:58:02      1.51      1.70
22:58:03      1.54      1.89
22:58:04      1.48      1.69
22:58:05      2.23      2.22
22:58:06      2.04      2.35
22:58:07      1.67      2.09
22:58:08      1.81      2.08
22:58:09      1.67      1.96
22:58:10      1.94      2.05
22:58:11      1.97      2.23
22:58:12      1.78      2.02
22:58:13      1.67      2.04
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:58:14      1.61      1.98
22:58:15      1.82      1.79
22:58:16      1.47      1.76
22:58:17      1.49      1.76
22:58:18      1.95      2.00
22:58:19      1.90      2.00
22:58:20      1.68      1.79
22:58:21      2.01      2.03
22:58:22      1.65      1.87
22:58:23      1.53      1.94
22:58:24      2.08      1.99
22:58:25      1.96      1.95
22:58:26      1.87      1.89
22:58:27      1.83      1.65
22:58:28      1.37      1.69
22:58:29      1.68      1.89
22:58:30      1.80      1.91
22:58:31      1.59      1.88
22:58:32      1.75      2.08
22:58:33      1.41      1.69
22:58:34      1.75      2.00
22:58:35      2.16      2.18
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:58:36      1.51      1.87
22:58:37      1.47      1.74
22:58:38      2.04      2.25
22:58:39      1.46      1.66
22:58:40      1.83      1.87
22:58:41      1.65      1.78
22:58:42      1.81      1.93
22:58:43      1.96      2.04
22:58:44      1.55      1.78
22:58:45      1.63      1.63
22:58:46      1.43      1.93
22:58:47      1.75      1.58
22:58:48      1.61      1.99
22:58:49      2.18      2.45
22:58:50      2.21      1.93
22:58:51      1.61      1.68
22:58:52      1.59      1.93
22:58:53      2.16      2.05
