procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10770    154   4786    0    0     0     3    5    4  2  0 98  0  0 2025-09-22 22:25:40
 0  0      0  10756    154   4786    0    0     0     4  633  800  4  2 94  0  0 2025-09-22 22:25:41
 0  0      0  10755    154   4786    0    0     0     0  400  564  1  1 99  0  0 2025-09-22 22:25:42
 0  0      0  10758    154   4786    0    0     0   108  427  573  1  1 98  0  0 2025-09-22 22:25:43
 0  0      0  10758    154   4786    0    0     0     0  161  212  0  0 100  0  0 2025-09-22 22:25:44
 1  0      0  10758    154   4786    0    0     0     0  146  202  0  0 100  0  0 2025-09-22 22:25:45
 0  0      0  10759    154   4786    0    0     0   228  246  279  1  0 99  0  0 2025-09-22 22:25:46
 0  0      0  10759    154   4786    0    0     0     0  287  343  2  1 98  0  0 2025-09-22 22:25:47
 1  0      0  10759    154   4786    0    0     0    48  144  194  0  0 100  0  0 2025-09-22 22:25:48
 1  0      0  10759    154   4786    0    0     0     0  152  200  0  0 100  0  0 2025-09-22 22:25:49
 0  0      0  10759    154   4786    0    0     0     0  137  194  0  0 100  0  0 2025-09-22 22:25:50
 0  0      0  10759    154   4786    0    0     0     0  131  194  0  0 100  0  0 2025-09-22 22:25:51
 0  0      0  10759    154   4786    0    0     0     0  152  213  0  0 100  0  0 2025-09-22 22:25:52
 0  0      0  10759    154   4786    0    0     0    16  127  185  0  0 100  0  0 2025-09-22 22:25:53
 0  0      0  10759    154   4786    0    0     0     0  153  200  0  0 100  0  0 2025-09-22 22:25:54
 0  0      0  10759    154   4786    0    0     0     0  126  178  0  0 100  0  0 2025-09-22 22:25:55
 0  0      0  10759    154   4786    0    0     0     0  137  190  0  0 100  0  0 2025-09-22 22:25:56
 1  0      0  10449    154   4786    0    0     0     0 1096 1768 15  7 79  0  0 2025-09-22 22:25:57
 0  0      0  10359    154   4786    0    0     0    56 1366 1677 49  3 48  0  0 2025-09-22 22:25:58
 0  0      0  10359    154   4786    0    0     0     0 1243 1420 50  1 49  0  0 2025-09-22 22:25:59
 2  0      0  10222    154   4786    0    0     0     0 1909 2956 64  9 27  0  0 2025-09-22 22:26:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10077    154   4786    0    0     0     0 1279 1021 81  7 12  0  0 2025-09-22 22:26:01
 2  0      0  10065    154   4786    0    0     0   236 1279 1063 82  1 17  0  0 2025-09-22 22:26:02
 2  0      0   9993    154   4786    0    0     0    64 1305 1102 83  4 13  0  0 2025-09-22 22:26:03
 2  0      0   9993    154   4786    0    0     0     0 1290 1116 83  1 16  0  0 2025-09-22 22:26:04
 1  0      0   9992    154   4786    0    0     0     0 1316 1137 83  1 16  0  0 2025-09-22 22:26:05
 2  0      0   9935    154   4786    0    0     0     0 1421 1266 81  4 15  0  0 2025-09-22 22:26:06
 5  0      0   9895    154   4786    0    0     0     0 1340 1212 80  3 17  0  0 2025-09-22 22:26:07
 2  0      0   9836    154   4786    0    0     0    16 1453 1470 82  3 15  0  0 2025-09-22 22:26:08
 3  0      0   9821    154   4786    0    0     0     0 1213  987 83  2 15  0  0 2025-09-22 22:26:09
 8  0      0   9818    154   4786    0    0     0     0 1280 1135 87  0 13  0  0 2025-09-22 22:26:10
 7  0      0   9817    154   4786    0    0     0     0 1325 1167 83  1 16  0  0 2025-09-22 22:26:11
 8  0      0   9815    154   4786    0    0     0     0 1306 1086 87  0 13  0  0 2025-09-22 22:26:12
 9  0      0   9814    154   4786    0    0     0    16 1378 1271 84  1 16  0  0 2025-09-22 22:26:13
 5  0      0   9813    154   4786    0    0     0     0 1378 1306 82  0 17  0  0 2025-09-22 22:26:14
 6  0      0   9812    154   4787    0    0     0     0 1268 1004 85  1 14  0  0 2025-09-22 22:26:15
 7  0      0   9812    154   4787    0    0     0     0 1252 1009 84  0 15  0  0 2025-09-22 22:26:16
 9  0      0   9812    154   4787    0    0     0     0 1239 1013 85  0 15  0  0 2025-09-22 22:26:17
 7  0      0   9811    154   4787    0    0     0    16 1363 1274 85  1 14  0  0 2025-09-22 22:26:18
 8  0      0   9810    154   4787    0    0     0     0 1339 1236 85  1 14  0  0 2025-09-22 22:26:19
 4  0      0   9810    154   4787    0    0     0     0 1342 1224 84  0 16  0  0 2025-09-22 22:26:20
 5  0      0   9810    154   4787    0    0     0     0 1307 1120 87  0 12  0  0 2025-09-22 22:26:21
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
10  0      0   9810    154   4787    0    0     0     0 1361 1193 84  1 16  0  0 2025-09-22 22:26:22
10  0      0   9808    154   4787    0    0     0    16 1442 1390 84  1 15  0  0 2025-09-22 22:26:23
 8  0      0   9808    154   4787    0    0     0     0 1368 1272 83  1 16  0  0 2025-09-22 22:26:24
 6  0      0   9808    154   4787    0    0     0     0 1190  891 85  0 14  0  0 2025-09-22 22:26:25
 8  0      0   9808    154   4787    0    0     0     0 1332 1192 84  1 15  0  0 2025-09-22 22:26:26
 7  0      0   9808    154   4787    0    0     0     0 1223  923 83  0 17  0  0 2025-09-22 22:26:27
 7  0      0   9808    154   4787    0    0     0    16 1416 1358 86  1 13  0  0 2025-09-22 22:26:28
 7  0      0   9807    154   4787    0    0     0     0 1309 1097 83  0 16  0  0 2025-09-22 22:26:29
 6  0      0   9807    154   4787    0    0     0     0 1286 1273 84  1 16  0  0 2025-09-22 22:26:30
 7  0      0   9807    154   4787    0    0     0     0 1285 1076 82  0 18  0  0 2025-09-22 22:26:31
 6  0      0   9807    154   4787    0    0     0     0 1352 1241 85  0 15  0  0 2025-09-22 22:26:32
 7  0      0   9807    154   4787    0    0     0    52 1329 1170 83  1 16  0  0 2025-09-22 22:26:33
 8  0      0   9807    154   4787    0    0     0     0 1255 1136 83  1 16  0  0 2025-09-22 22:26:34
 7  0      0   9807    154   4787    0    0     0     0 1335 1175 82  1 17  0  0 2025-09-22 22:26:35
 7  0      0   9807    154   4787    0    0     0     0 1302 1099 85  1 15  0  0 2025-09-22 22:26:36
 6  0      0   9807    154   4787    0    0     0     0 1325 1148 83  0 16  0  0 2025-09-22 22:26:37
 7  0      0   9806    154   4788    0    0     0    64 1448 1435 83  1 16  0  0 2025-09-22 22:26:38
