  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:25:41      5.42      5.80
22:25:42      3.01      2.67
22:25:43      2.89      3.40
22:25:44      0.47      0.53
22:25:45      0.75      0.89
22:25:46      0.63      0.45
22:25:47      6.99      4.73
22:25:48      0.35      0.32
22:25:49      0.55      0.58
22:25:50      0.81      0.68
22:25:51      0.58      0.39
22:25:52      0.83      0.80
22:25:53      0.29      0.32
22:25:54      0.55      0.58
22:25:55      0.62      0.32
22:25:56      0.68      0.49
22:25:57      4.54      5.19
22:25:58      2.66      2.38
22:25:59      1.72      1.56
22:26:00      4.49      5.03
22:26:01      2.12      2.09
22:26:02      1.35      1.55
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:03      1.87      2.19
22:26:04      1.35      1.40
22:26:05      1.66      1.50
22:26:06      2.21      2.36
22:26:07      1.51      1.70
22:26:08      2.00      2.18
22:26:09      1.33      1.47
22:26:10      1.80      1.96
22:26:11      2.01      1.92
22:26:12      1.84      1.92
22:26:13      1.78      1.71
22:26:14      1.52      1.57
22:26:15      1.66      2.08
22:26:16      1.49      1.36
22:26:17      1.69      1.88
22:26:18      1.88      1.94
22:26:19      1.88      2.16
22:26:20      1.54      1.65
22:26:21      1.80      1.87
22:26:22      1.57      1.71
22:26:23      1.72      1.94
22:26:24      2.29      1.98
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:25      1.38      1.60
22:26:26      1.71      1.80
22:26:27      2.17      1.97
22:26:28      1.75      1.92
22:26:29      1.52      1.76
22:26:30      2.17      2.17
22:26:31      1.40      1.20
22:26:32      1.75      2.00
22:26:33      1.39      1.60
22:26:34      1.62      1.97
22:26:35      1.46      1.67
22:26:36      1.63      1.46
22:26:37      1.52      1.55
22:26:38      1.85      2.08
22:26:39      1.01      1.08
22:26:40      1.62      1.67
22:26:41      1.68      1.76
22:26:42      1.38      1.74
22:26:43      1.41      1.67
22:26:44      1.67      2.01
22:26:45      1.92      2.09
22:26:46      1.62      1.38
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:47      1.76      1.93
22:26:48      1.11      1.12
22:26:49      1.82      2.03
22:26:50      1.37      1.66
22:26:51      1.62      1.62
22:26:52      1.68      1.95
22:26:53      2.22      2.18
22:26:54      1.91      2.25
22:26:55      1.44      1.44
22:26:56      2.07      1.81
22:26:57      1.53      1.70
22:26:58      2.13      2.52
22:26:59      1.50      1.45
22:27:00      1.82      2.27
22:27:01      1.62      1.54
22:27:02      1.38      1.45
22:27:03      1.77      1.73
22:27:04      1.51      1.59
22:27:05      2.06      2.10
22:27:06      1.50      1.38
22:27:07      2.34      2.74
22:27:08      1.45      1.49
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:09      1.64      1.79
22:27:10      1.38      1.43
22:27:11      1.74      1.72
22:27:12      1.68      1.56
22:27:13      1.68      1.70
22:27:14      1.84      2.10
22:27:15      1.53      1.70
22:27:16      1.80      2.00
22:27:17      1.84      1.90
22:27:18      1.99      2.24
22:27:19      2.05      2.33
22:27:20      1.42      1.58
22:27:21      1.82      2.18
22:27:22      1.86      1.89
22:27:23      2.06      2.17
22:27:24      1.53      1.92
22:27:25      2.31      2.39
22:27:26      1.65      1.88
22:27:27      1.73      2.02
22:27:28      1.74      1.68
22:27:29      2.02      2.17
22:27:30      1.88      2.20
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:31      1.93      1.99
22:27:32      1.73      1.84
22:27:33      1.89      1.58
22:27:34      1.72      2.05
22:27:35      2.03      2.18
22:27:36      1.81      1.89
22:27:37      1.94      2.21
22:27:38      2.01      2.42
22:27:39      1.82      2.10
22:27:40      1.90      1.87
22:27:41      1.54      1.54
22:27:42      2.03      2.15
22:27:43      1.39      1.52
22:27:44      1.97      2.32
22:27:45      1.79      1.92
22:27:46      2.10      2.43
22:27:47      1.69      2.10
22:27:48      7.38      5.94
22:27:49      1.61      1.87
22:27:50      1.81      2.04
22:27:51      2.44      2.00
22:27:52      1.60      2.03
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:53      1.96      2.22
22:27:54      1.80      1.52
22:27:55      1.92      2.20
22:27:56      1.44      1.43
22:27:57      2.02      2.05
22:27:58      1.66      1.74
22:27:59      2.13      2.35
22:28:00      1.45      1.64
22:28:01      1.98      1.86
22:28:02      1.64      1.92
22:28:03      1.60      1.83
22:28:04      1.76      2.27
22:28:05      1.71      1.72
22:28:06      2.20      2.20
22:28:07      1.72      1.75
22:28:08      2.18      2.19
22:28:09      1.73      1.71
22:28:10      1.80      1.96
22:28:11      1.67      1.80
22:28:12      1.67      1.98
22:28:13      2.03      2.33
22:28:14      1.71      2.20
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:28:15      1.29      1.77
22:28:16      1.84      2.02
22:28:17      1.95      2.14
22:28:18      1.59      1.74
22:28:19      2.47      2.67
22:28:20      1.86      1.88
22:28:21      1.83      2.17
22:28:22      1.72      1.79
22:28:23      2.15      2.15
22:28:24      1.73      1.88
22:28:25      1.89      2.40
22:28:26      1.98      1.71
22:28:27      1.73      1.92
22:28:28      1.30      1.51
22:28:29      3.61      4.36
22:28:30      6.20      7.33
22:28:31      2.28      2.42
22:28:32      1.77      1.83
22:28:33      1.93      2.22
22:28:34      1.66      1.89
22:28:35      2.08      2.57
22:28:36      1.56      1.51
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:28:37      1.97      2.50
22:28:38      1.62      1.74
22:28:39      1.91      2.41
22:28:40      1.54      1.67
22:28:41      2.23      2.38
22:28:42      1.38      1.50
22:28:43      1.97      2.39
22:28:44      1.50      1.80
22:28:45      2.29      2.37
22:28:46      1.84      2.00
22:28:47      1.99      2.01
22:28:48      1.41      1.72
22:28:49      2.38      2.52
22:28:50      1.79      1.91
22:28:51      1.85      2.14
22:28:52      2.18      2.16
22:28:53      1.71      2.14
22:28:54      1.61      1.75
22:28:55      2.33      2.46
22:28:56      1.95      1.98
22:28:57      2.10      2.64
22:28:58      1.73      1.91
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:28:59      1.72      2.05
22:29:00      1.98      2.26
22:29:01      1.69      1.84
22:29:02      2.05      2.17
22:29:03      1.61      1.82
22:29:04      2.26      2.31
22:29:05      1.69      1.92
22:29:06      2.06      2.00
22:29:07      1.74      1.96
22:29:08      2.14      2.42
22:29:09      1.71      1.97
22:29:10      1.74      2.00
22:29:11      1.98      1.67
22:29:12      2.10      2.27
22:29:13      1.66      1.80
22:29:14      2.21      2.52
22:29:15      1.97      2.34
22:29:16      1.68      1.45
22:29:17      1.98      2.09
22:29:18      1.94      1.88
22:29:19      2.46      3.01
22:29:20      1.85      1.81
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:29:21      2.30      1.72
22:29:22      1.54      1.84
22:29:23      1.93      2.38
22:29:24      2.31      2.36
22:29:25      1.73      1.91
22:29:26      2.05      2.36
22:29:27      1.93      2.11
22:29:28      1.67      1.87
22:29:29      2.12      2.55
22:29:30      1.59      1.80
22:29:31      1.77      2.00
22:29:32      1.45      1.72
22:29:33      1.84      2.41
22:29:34      1.99      1.97
22:29:35      1.75      2.07
22:29:36      1.97      1.95
22:29:37      2.26      2.47
22:29:38      1.46      1.47
22:29:39      1.89      2.30
22:29:40      1.93      2.05
22:29:41      1.75      2.00
22:29:42      1.87      2.05
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:29:43      2.22      2.61
22:29:44      1.79      1.96
22:29:45      1.67      1.83
22:29:46      1.96      2.09
22:29:47      2.86      2.72
22:29:48      1.56      1.65
22:29:49      1.78      2.12
22:29:50      2.48      2.56
22:29:51      1.88      2.04
22:29:52      1.90      2.09
22:29:53      2.15      2.00
22:29:54      1.66      1.80
22:29:55      1.76      2.17
22:29:56      2.39      2.40
22:29:57      1.71      1.97
22:29:58      1.82      2.06
22:29:59      1.77      2.06
22:30:00      1.66      1.88
22:30:01      2.22      2.16
22:30:02      1.66      1.95
22:30:03      2.06      2.53
22:30:04      1.72      2.04
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:30:05      2.27      2.56
22:30:06      1.93      2.08
22:30:07      2.62      2.81
22:30:08      1.27      1.48
22:30:09      2.22      2.57
22:30:10      1.57      1.89
22:30:11      2.40      2.51
22:30:12      1.81      2.18
22:30:13      2.23      2.49
22:30:14      1.78      2.07
22:30:15      1.73      2.16
22:30:16      2.12      1.74
22:30:17      1.98      2.45
22:30:18      1.96      2.21
22:30:19      2.02      2.15
22:30:20      1.59      1.57
22:30:21      2.02      2.22
22:30:22      2.28      1.97
22:30:23      1.71      2.09
22:30:24      1.75      2.13
22:30:25      2.21      2.38
22:30:26      1.96      2.10
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:30:27      1.66      1.95
22:30:28      1.84      2.17
22:30:29      1.56      1.89
22:30:30      1.64      1.84
22:30:31      1.73      1.94
22:30:32      2.25      2.53
22:30:33      1.75      1.88
22:30:34      2.24      2.50
22:30:35      1.68      1.63
22:30:36      1.60      1.71
