Linux 5.4.0-216-generic (cloud3gxie) 	09/22/25 	_x86_64_	(4 CPU)

22:25:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:25:41     all    3.75    0.00    1.75    0.00    0.00    0.25    0.00    0.00    0.00   94.25
22:25:42     all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.75
22:25:43     all    0.50    0.00    1.25    0.25    0.00    0.00    0.00    0.00    0.00   98.00
22:25:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:45     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:46     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
22:25:47     all    1.76    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.99
22:25:48     all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
22:25:49     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:50     all    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.75
22:25:51     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:53     all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
22:25:54     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:55     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:56     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:57     all   14.39    0.00    6.31    0.00    0.00    0.00    0.00    0.00    0.00   79.29
22:25:58     all   17.34   31.66    2.76    0.00    0.00    0.00    0.00    0.00    0.00   48.24
22:25:59     all   17.00   33.25    0.50    0.00    0.00    0.50    0.00    0.00    0.00   48.75
22:26:00     all   30.63   33.16    8.35    0.00    0.00    0.76    0.00    0.00    0.00   27.09
22:26:01     all   22.50   58.50    7.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
22:26:02     all   11.59   70.28    1.26    0.00    0.00    0.25    0.00    0.00    0.00   16.62
22:26:03     all   20.95   61.60    4.24    0.00    0.00    0.00    0.00    0.00    0.00   13.22
22:26:04     all   11.08   72.54    0.76    0.00    0.00    0.25    0.00    0.00    0.00   15.37
22:26:05     all   10.22   72.57    0.75    0.00    0.00    0.00    0.00    0.00    0.00   16.46
22:26:06     all   17.29   64.16    4.01    0.00    0.00    0.00    0.00    0.00    0.00   14.54
22:26:07     all   11.28   68.42    2.76    0.00    0.00    0.00    0.00    0.00    0.00   17.54
22:26:08     all   16.29   65.66    3.26    0.25    0.00    0.00    0.00    0.00    0.00   14.54
22:26:09     all   11.39   71.65    1.27    0.00    0.00    0.25    0.00    0.00    0.00   15.44
22:26:10     all   16.58   70.35    0.25    0.00    0.00    0.00    0.00    0.00    0.00   12.81
22:26:11     all   11.59   72.29    0.25    0.00    0.00    0.00    0.00    0.00    0.00   15.87
22:26:12     all   16.08   70.35    0.25    0.00    0.00    0.00    0.00    0.00    0.00   13.32
22:26:13     all   15.66   68.18    0.76    0.00    0.00    0.25    0.00    0.00    0.00   15.15
22:26:14     all    9.98   72.32    0.25    0.00    0.00    0.00    0.00    0.00    0.00   17.46
22:26:15     all   14.82   70.60    0.50    0.00    0.00    0.00    0.00    0.00    0.00   14.07
22:26:16     all   11.22   72.82    0.00    0.00    0.00    0.50    0.00    0.00    0.00   15.46
22:26:17     all   15.87   68.77    0.50    0.00    0.00    0.00    0.00    0.00    0.00   14.86
22:26:18     all   11.75   73.50    0.25    0.00    0.00    0.00    0.00    0.00    0.00   14.50
22:26:19     all   15.33   69.60    0.50    0.00    0.00    0.25    0.00    0.00    0.00   14.32
22:26:20     all   11.62   72.22    0.25    0.00    0.00    0.00    0.00    0.00    0.00   15.91
22:26:21     all   16.67   70.15    1.00    0.00    0.00    0.00    0.25    0.00    0.00   11.94
22:26:22     all   11.50   72.25    0.50    0.00    0.00    0.25    0.00    0.00    0.00   15.50
22:26:23     all   14.61   69.77    1.01    0.00    0.00    0.00    0.00    0.00    0.00   14.61
22:26:24     all   13.53   69.67    0.25    0.00    0.00    0.25    0.00    0.00    0.00   16.29
22:26:25     all   13.47   72.07    0.00    0.00    0.00    0.25    0.00    0.00    0.00   14.21
22:26:26     all   14.18   70.13    0.51    0.00    0.00    0.00    0.00    0.00    0.00   15.19
22:26:27     all   10.10   72.47    0.00    0.00    0.00    0.25    0.00    0.00    0.00   17.17
22:26:28     all   18.20   67.83    0.50    0.25    0.00    0.25    0.00    0.00    0.00   12.97
22:26:29     all   11.47   71.32    0.75    0.00    0.00    0.00    0.00    0.00    0.00   16.46
22:26:30     all   15.74   68.53    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.74
22:26:31     all    9.85   71.97    0.51    0.00    0.00    0.00    0.00    0.00    0.00   17.68
22:26:32     all   15.38   68.49    0.50    0.00    0.00    0.50    0.00    0.00    0.00   15.14
22:26:33     all   11.94   70.65    0.75    0.00    0.00    0.25    0.00    0.00    0.00   16.42
22:26:34     all   15.74   68.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00   16.24
22:26:35     all    9.41   72.28    0.99    0.00    0.00    0.00    0.00    0.00    0.00   17.33
22:26:36     all   14.04   71.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00   14.79
22:26:37     all   10.55   72.61    0.25    0.00    0.00    0.25    0.00    0.00    0.00   16.33
22:26:38     all   16.79   66.17    0.75    0.25    0.00    0.25    0.00    0.00    0.00   15.79
22:26:39     all   10.05   73.12    0.00    0.00    0.00    0.25    0.00    0.00    0.00   16.58
22:26:40     all   15.08   68.34    0.25    0.00    0.00    0.00    0.00    0.00    0.00   16.33
22:26:41     all    9.32   72.54    0.25    0.00    0.00    0.00    0.00    0.00    0.00   17.88
22:26:42     all   11.28   72.68    0.75    0.00    0.00    0.25    0.00    0.00    0.00   15.04
22:26:43     all   14.25   72.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   13.25
22:26:44     all   12.37   69.19    0.51    0.00    0.00    0.51    0.00    0.00    0.00   17.42
22:26:45     all   15.62   70.03    0.25    0.00    0.00    0.00    0.00    0.00    0.00   14.11
22:26:46     all   11.06   71.61    0.25    0.00    0.00    0.00    0.00    0.00    0.00   17.09
22:26:47     all   14.89   68.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00   16.63
22:26:48     all   10.89   71.14    0.51    0.00    0.00    0.00    0.00    0.00    0.00   17.47
22:26:49     all   12.50   72.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   14.75
22:26:50     all   15.00   66.00    0.50    0.00    0.00    0.25    0.25    0.00    0.00   18.00
22:26:51     all   11.65   71.39    0.51    0.00    0.00    0.00    0.00    0.00    0.00   16.46
22:26:52     all   14.75   68.75    0.00    0.00    0.00    0.25    0.00    0.00    0.00   16.25
22:26:53     all   11.08   72.54    1.26    0.00    0.00    0.00    0.00    0.00    0.00   15.11
22:26:54     all   17.22   69.37    0.76    0.00    0.00    0.25    0.00    0.00    0.00   12.41
22:26:55     all   11.00   73.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   15.75
22:26:56     all   14.36   72.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00   13.60
22:26:57     all   12.25   73.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   14.25
22:26:58     all   13.50   69.50    1.50    0.00    0.00    0.00    0.00    0.00    0.00   15.50
22:26:59     all   11.36   73.48    0.25    0.00    0.00    0.00    0.00    0.00    0.00   14.90
22:27:00     all   13.35   71.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.11
22:27:01     all   13.32   70.85    0.25    0.00    0.00    0.25    0.00    0.00    0.00   15.33
22:27:02     all    9.82   73.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00   16.62
22:27:03     all   15.79   69.42    1.00    0.00    0.00    0.00    0.00    0.00    0.00   13.78
22:27:04     all    9.55   72.11    1.26    0.00    0.00    0.00    0.00    0.00    0.00   17.09
22:27:05     all   14.29   70.68    0.50    0.00    0.00    0.00    0.00    0.00    0.00   14.54
22:27:06     all   10.80   72.11    0.25    0.00    0.00    0.00    0.00    0.00    0.00   16.83
22:27:07     all   15.87   69.27    0.25    0.00    0.00    0.00    0.00    0.00    0.00   14.61
22:27:08     all   11.44   72.14    1.00    0.00    0.00    0.00    0.00    0.00    0.00   15.42
22:27:09     all   15.83   70.10    0.50    0.00    0.00    0.00    0.00    0.00    0.00   13.57
22:27:10     all    9.34   72.73    0.51    0.00    0.00    0.00    0.00    0.00    0.00   17.42
22:27:11     all   14.25   72.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   13.50
22:27:12     all   15.63   67.74    0.50    0.00    0.00    0.00    0.00    0.00    0.00   16.13
22:27:13     all   10.61   71.46    0.51    0.00    0.00    0.00    0.00    0.00    0.00   17.42
22:27:14     all   16.08   69.10    0.50    0.00    0.00    0.00    0.00    0.00    0.00   14.32
22:27:15     all   11.00   71.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   17.50
22:27:16     all   15.33   68.59    0.25    0.00    0.00    0.00    0.00    0.00    0.00   15.83
22:27:17     all   10.28   73.43    0.25    0.00    0.00    0.00    0.00    0.00    0.00   16.04
22:27:18     all   12.53   70.93    1.00    0.00    0.00    0.00    0.00    0.00    0.00   15.54
22:27:19     all   12.56   71.86    0.75    0.00    0.00    0.00    0.00    0.00    0.00   14.82
22:27:20     all   11.72   71.07    0.75    0.00    0.00    0.00    0.00    0.00    0.00   16.46
22:27:21     all   17.91   69.40    0.00    0.00    0.00    0.25    0.00    0.00    0.00   12.44
22:27:22     all    9.50   73.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   17.00
22:27:23     all   15.87   68.51    0.76    0.00    0.00    0.00    0.00    0.00    0.00   14.86
22:27:24     all   11.08   73.05    0.76    0.00    0.00    0.00    0.00    0.00    0.00   15.11
22:27:25     all   14.11   69.80    0.74    0.00    0.00    0.25    0.00    0.00    0.00   15.10
22:27:26     all   12.09   71.79    0.50    0.00    0.00    0.00    0.00    0.00    0.00   15.62
22:27:27     all    9.73   72.07    0.25    0.00    0.00    0.00    0.00    0.00    0.00   17.96
22:27:28     all   16.37   69.77    1.01    0.00    0.00    0.25    0.00    0.00    0.00   12.59
22:27:29     all   12.09   70.28    0.76    0.00    0.00    0.25    0.00    0.00    0.00   16.62
22:27:30     all   15.50   69.50    0.25    0.00    0.00    0.00    0.00    0.00    0.00   14.75
22:27:31     all    9.27   72.18    0.25    0.00    0.00    0.00    0.00    0.00    0.00   18.30
22:27:32     all   16.75   67.25    0.25    0.00    0.00    0.25    0.00    0.00    0.00   15.50
22:27:33     all   10.05   73.12    0.75    0.00    0.00    0.00    0.00    0.00    0.00   16.08
22:27:34     all   11.78   71.18    1.25    0.00    0.00    0.00    0.00    0.00    0.00   15.79
22:27:35     all   16.71   68.33    0.25    0.00    0.00    0.25    0.00    0.00    0.00   14.46
22:27:36     all    9.50   73.50    0.25    0.00    0.00    0.00    0.00    0.00    0.00   16.75
22:27:37     all   12.09   72.80    0.00    0.00    0.00    0.25    0.00    0.00    0.00   14.86
22:27:38     all   16.21   69.58    0.50    0.00    0.00    0.00    0.00    0.00    0.00   13.72
22:27:39     all   11.08   71.28    1.01    0.00    0.00    0.00    0.00    0.00    0.00   16.62
22:27:40     all   16.33   68.59    0.25    0.00    0.00    0.00    0.00    0.00    0.00   14.82
22:27:41     all   12.47   71.57    0.25    0.00    0.00    0.25    0.00    0.00    0.00   15.46
22:27:42     all   16.63   67.49    0.50    0.00    0.00    0.25    0.00    0.00    0.00   15.14
22:27:43     all   13.47   70.82    0.25    0.00    0.00    0.50    0.00    0.00    0.00   14.96
22:27:44     all   13.78   67.92    0.75    0.00    0.00    0.00    0.00    0.00    0.00   17.54
22:27:45     all   11.31   73.62    0.25    0.00    0.00    0.00    0.00    0.00    0.00   14.82
22:27:46     all   15.23   70.05    0.25    0.00    0.00    0.00    0.00    0.00    0.00   14.47
