  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:56:31      3.13      3.03
22:56:32      2.15      1.94
22:56:33      3.72      4.21
22:56:34      1.47      1.12
22:56:35      1.27      1.59
22:56:36      0.35      0.33
22:56:37      7.09      4.58
22:56:38      0.35      0.32
22:56:39      1.05      0.94
22:56:40      0.70      0.81
22:56:41      0.29      0.32
22:56:42      0.55      0.57
22:56:43      0.29      0.32
22:56:44      1.00      0.67
22:56:45      0.82      0.83
22:56:46      0.72      0.61
22:56:47      0.36      0.47
22:56:48      0.48      0.42
22:56:49      0.64      0.38
22:56:50      0.54      0.57
22:56:51      0.62      0.32
22:56:52      0.84      0.93
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:56:53      0.80      0.83
22:56:54      1.47      1.05
22:56:55      0.73      1.08
22:56:56      0.99      0.92
22:56:57      1.19      0.96
22:56:58      0.76      0.74
22:56:59      0.79      0.70
22:57:00      0.91      0.97
22:57:01      0.57      0.64
22:57:02      0.82      0.74
22:57:03      0.62      0.64
22:57:04      5.55      5.85
22:57:05      2.14      2.64
22:57:06      1.00      0.86
22:57:07      1.39      1.58
22:57:08      1.61      1.66
22:57:09      1.19      1.19
22:57:10      1.45      1.67
22:57:11      0.99      1.06
22:57:12      1.36      1.39
22:57:13      1.16      1.24
22:57:14      1.46      1.35
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:15      1.39      1.58
22:57:16      1.09      1.09
22:57:17      1.16      1.21
22:57:18      1.29      1.35
22:57:19      1.50      1.57
22:57:20      1.73      1.65
22:57:21      1.28      1.47
22:57:22      1.88      2.16
22:57:23      1.09      0.82
22:57:24      1.32      1.19
22:57:25      1.11      1.40
22:57:26      1.56      1.21
22:57:27      1.49      1.94
22:57:28      1.23      1.22
22:57:29      1.42      1.64
22:57:30      1.29      1.54
22:57:31      1.66      1.51
22:57:32      1.35      1.54
22:57:33      1.27      1.39
22:57:34      1.38      1.32
22:57:35      1.36      1.54
22:57:36      1.23      1.15
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:37      1.20      1.54
22:57:38      1.95      1.79
22:57:39      1.09      1.36
22:57:40      1.09      1.11
22:57:41      1.35      1.74
22:57:42      1.58      1.77
22:57:43      1.19      1.43
22:57:44      1.91      1.94
22:57:45      1.33      1.50
22:57:46      1.30      1.44
22:57:47      0.95      1.19
22:57:48      1.60      1.74
22:57:49      1.85      1.57
22:57:50      1.28      1.42
22:57:51      1.26      1.46
22:57:52      2.20      2.12
22:57:53      1.17      1.13
22:57:54      1.79      1.47
22:57:55      1.71      1.58
22:57:56      1.89      2.10
22:57:57      1.54      1.90
22:57:58      1.49      1.58
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:59      1.81      1.66
22:58:00      1.66      1.92
22:58:01      0.95      1.10
22:58:02      1.65      1.89
22:58:03      1.35      1.56
22:58:04      1.43      1.39
22:58:05      2.05      2.43
22:58:06      1.31      1.37
22:58:07      1.48      2.02
22:58:08      1.37      1.56
22:58:09      1.51      1.72
22:58:10      1.57      1.81
22:58:11      1.30      1.57
