procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0  10610    155   4909    0    0     0     3    5    4  1  0 99  0  0 2025-09-22 22:56:30
 0  0      0  10605    155   4909    0    0     0     4  359  509  2  1 98  0  0 2025-09-22 22:56:31
 0  0      0  10605    155   4909    0    0     0    92  278  412  0  0 100  0  0 2025-09-22 22:56:32
 0  0      0  10596    155   4909    0    0     0     0  371  519  3  1 97  0  0 2025-09-22 22:56:33
 0  0      0  10596    155   4909    0    0     0     4  297  385  0  1 99  0  0 2025-09-22 22:56:34
 0  0      0  10596    155   4909    0    0     0     0  240  327  0  0 99  0  0 2025-09-22 22:56:35
 0  0      0  10596    155   4909    0    0     0     0  210  258  0  1 99  0  0 2025-09-22 22:56:36
 0  0      0  10595    155   4909    0    0     0    36  303  376  2  0 98  0  0 2025-09-22 22:56:37
 0  0      0  10595    155   4909    0    0     0     0  148  194  0  0 100  0  0 2025-09-22 22:56:38
 0  0      0  10595    155   4909    0    0     0     0  153  228  0  0 100  0  0 2025-09-22 22:56:39
 0  0      0  10595    155   4909    0    0     0    88  164  215  0  0 100  0  0 2025-09-22 22:56:40
 0  0      0  10595    155   4909    0    0     0     0  129  188  0  0 100  0  0 2025-09-22 22:56:41
 0  0      0  10595    155   4909    0    0     0    20  157  223  0  0 100  0  0 2025-09-22 22:56:42
 0  0      0  10595    155   4909    0    0     0     0  132  178  0  0 100  0  0 2025-09-22 22:56:43
 0  0      0  10595    155   4909    0    0     0     0  157  223  0  0 100  0  0 2025-09-22 22:56:44
 0  0      0  10595    155   4909    0    0     0     0  145  214  0  0 100  0  0 2025-09-22 22:56:45
 0  0      0  10595    155   4909    0    0     0     0  154  220  0  0 100  0  0 2025-09-22 22:56:46
 0  0      0  10595    155   4909    0    0     0    20  134  202  0  0 100  0  0 2025-09-22 22:56:47
 0  0      0  10595    155   4909    0    0     0     0  139  212  0  0 100  0  0 2025-09-22 22:56:48
 0  0      0  10595    155   4909    0    0     0     0  138  227  0  0 100  0  0 2025-09-22 22:56:49
 0  0      0  10595    155   4909    0    0     0     0  137  210  0  0 100  0  0 2025-09-22 22:56:50
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10595    155   4909    0    0     0     0  123  195  0  0 100  0  0 2025-09-22 22:56:51
 0  0      0  10595    155   4909    0    0     0    20  234  385  0  0 100  0  0 2025-09-22 22:56:52
 0  0      0  10595    155   4909    0    0     0     0  154  263  0  0 100  0  0 2025-09-22 22:56:53
 0  0      0  10595    155   4909    0    0     0     0  169  268  0  0 100  0  0 2025-09-22 22:56:54
