Linux 5.4.0-216-generic (cloud1gxie) 	09/22/25 	_x86_64_	(4 CPU)

22:25:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:25:33     all    4.24    0.00    2.74    0.00    0.00    0.00    0.00    0.00    0.00   93.02
22:25:34     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:35     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
22:25:36     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:37     all    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:38     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
22:25:39     all    1.74    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.51
22:25:40     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:41     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:42     all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
22:25:43     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:45     all    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:48     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:50     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:51     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:52     all    0.25    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00   99.25
22:25:53     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:54     all    2.25    0.00    2.25    0.00    0.00    0.00    0.00    0.00    0.00   95.50
22:25:55     all   37.12    0.00    6.82    0.00    0.00    0.00    0.00    0.00    0.00   56.06
22:25:56     all   21.66   20.40    1.51    0.00    0.00    0.00    0.00    0.00    0.00   56.42
22:25:57     all   16.08   33.42    0.75    0.00    0.00    0.25    0.00    0.00    0.00   49.50
22:25:58     all   18.75   32.75    0.75    0.00    0.00    0.50    0.00    0.00    0.00   47.25
22:25:59     all   40.91   37.37   14.14    0.00    0.00    0.00    0.00    0.00    0.00    7.58
22:26:00     all   11.69   77.61    1.99    0.00    0.00    0.00    0.00    0.00    0.00    8.71
