procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10616    154   4908    0    0     0     3    4    4  1  0 99  0  0 2025-09-22 22:25:32
 0  0      0  10601    154   4908    0    0     0   208  594  751  4  2 95  0  0 2025-09-22 22:25:33
 0  0      0  10600    154   4909    0    0     0     0  437  677  1  1 99  0  0 2025-09-22 22:25:34
 0  0      0  10601    154   4909    0    0     0     0  255  315  1  0 99  0  0 2025-09-22 22:25:35
 0  0      0  10602    154   4909    0    0     0     0  153  226  0  0 100  0  0 2025-09-22 22:25:36
 0  0      0  10602    154   4909    0    0     0   120  178  256  0  0 99  0  0 2025-09-22 22:25:37
 0  0      0  10601    154   4909    0    0     0     0  249  301  1  1 99  0  0 2025-09-22 22:25:38
 0  0      0  10601    154   4909    0    0     0   104  351  367  2  0 98  0  0 2025-09-22 22:25:39
 0  0      0  10601    154   4909    0    0     0     0  175  260  0  0 100  0  0 2025-09-22 22:25:40
 0  0      0  10601    154   4909    0    0     0     0  171  247  0  0 100  0  0 2025-09-22 22:25:41
 0  0      0  10601    154   4909    0    0     0    16  156  221  0  0 100  0  0 2025-09-22 22:25:42
 0  0      0  10601    154   4909    0    0     0     0  154  217  0  0 100  0  0 2025-09-22 22:25:43
 0  0      0  10601    154   4909    0    0     0     0  161  220  0  0 100  0  0 2025-09-22 22:25:44
 0  0      0  10601    154   4909    0    0     0     0  163  225  0  0 100  0  0 2025-09-22 22:25:45
 0  0      0  10601    154   4909    0    0     0     0  161  231  0  0 100  0  0 2025-09-22 22:25:46
 0  0      0  10601    154   4909    0    0     0    16  173  258  0  0 100  0  0 2025-09-22 22:25:47
 0  0      0  10601    154   4909    0    0     0     0  164  225  0  0 100  0  0 2025-09-22 22:25:48
 0  0      0  10601    154   4909    0    0     0     0  195  283  0  0 100  0  0 2025-09-22 22:25:49
 0  0      0  10601    154   4909    0    0     0     0  158  227  0  0 100  0  0 2025-09-22 22:25:50
 0  0      0  10601    154   4909    0    0     0     0  174  251  0  0 100  0  0 2025-09-22 22:25:51
 0  0      0  10601    154   4909    0    0     0    16  181  273  0  0 99  0  0 2025-09-22 22:25:52
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10601    154   4909    0    0     0     0  164  245  0  0 100  0  0 2025-09-22 22:25:53
 1  0      0  10591    154   4909    0    0     0     0  516  837  3  3 95  0  0 2025-09-22 22:25:54
 1  0      0  10281    154   4909    0    0     0     0 1264 1691 38  6 56  0  0 2025-09-22 22:25:55
 2  0      0  10200    154   4909    0    0     0     0  833  701 42  2 56  0  0 2025-09-22 22:25:56
 2  0      0  10194    154   4909    0    0     0    64  898  737 50  1 49  0  0 2025-09-22 22:25:57
 4  0      0  10190    154   4909    0    0     0     0 1072 1108 51  2 47  0  0 2025-09-22 22:25:58
 5  0      0   9927    154   4909    0    0     0   508 1744 2329 78 14  8  0  0 2025-09-22 22:25:59
 7  0      0   9911    154   4909    0    0     0     0 1204  853 90  2  9  0  0 2025-09-22 22:26:00
 8  0      0   9862    154   4909    0    0     0     0 1172  839 85  3 12  0  0 2025-09-22 22:26:01
 7  0      0   9840    154   4909    0    0     0    84 1086  665 85  2 12  0  0 2025-09-22 22:26:02
 7  0      0   9840    154   4910    0    0     0     0 1104  676 87  0 13  0  0 2025-09-22 22:26:03
 8  0      0   9827    154   4910    0    0     0     0 1069  610 86  1 13  0  0 2025-09-22 22:26:04
 6  0      0   9770    154   4910    0    0     0     0 1199  958 85  3 12  0  0 2025-09-22 22:26:05
