  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:25:33      4.91      5.49
22:25:34      4.46      3.67
22:25:35      0.82      0.85
22:25:36      0.62      0.64
22:25:37      0.82      0.89
22:25:38      0.74      0.66
22:25:39      7.04      4.31
22:25:40      0.89      1.01
22:25:41      0.63      0.48
22:25:42      0.49      0.57
22:25:43      0.35      0.32
22:25:44      0.77      0.54
22:25:45      0.40      0.38
22:25:46      0.78      0.87
22:25:47      0.71      0.81
22:25:48      0.64      0.74
22:25:49      1.37      1.13
22:25:50      0.70      0.87
22:25:51      0.69      0.84
22:25:52      1.00      1.08
22:25:53      0.62      0.64
22:25:54      1.87      1.69
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:25:55      5.53      6.34
22:25:56      1.66      1.77
22:25:57      1.57      1.48
22:25:58      1.98      1.96
22:25:59      5.21      5.71
22:26:00      1.34      1.44
22:26:01      1.56      1.60
22:26:02      1.45      1.83
22:26:03      1.55      1.80
22:26:04      1.56      1.71
22:26:05      1.87      2.33
22:26:06      1.79      1.97
22:26:07      1.73      1.95
22:26:08      1.58      1.93
22:26:09      1.89      2.02
22:26:10      2.15      2.51
22:26:11      1.25      1.32
22:26:12      1.60      1.95
22:26:13      1.86      2.00
22:26:14      1.46      1.69
22:26:15      1.94      2.38
22:26:16      1.89      2.10
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:17      1.53      1.29
22:26:18      2.09      2.03
22:26:19      1.93      1.95
22:26:20      1.52      1.80
22:26:21      1.99      1.88
22:26:22      1.54      1.86
22:26:23      1.88      1.89
22:26:24      2.08      1.89
22:26:25      1.89      2.11
22:26:26      1.94      2.06
22:26:27      1.98      1.56
22:26:28      1.75      2.07
22:26:29      1.56      1.57
22:26:30      1.38      1.44
22:26:31      1.71      1.77
22:26:32      1.63      1.94
22:26:33      1.29      1.36
22:26:34      1.74      1.97
22:26:35      1.98      2.31
22:26:36      1.46      1.82
22:26:37      1.76      1.84
22:26:38      1.59      2.11
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:39      1.24      1.16
22:26:40      1.91      2.58
22:26:41      1.82      2.17
22:26:42      1.36      1.67
22:26:43      1.57      1.91
22:26:44      1.58      1.55
22:26:45      1.58      1.70
22:26:46      1.85      1.86
22:26:47      1.48      1.66
22:26:48      1.66      2.17
22:26:49      2.05      2.17
22:26:50      1.46      2.06
22:26:51      1.77      1.91
22:26:52      1.54      2.02
22:26:53      2.22      2.02
22:26:54      2.13      2.00
22:26:55      1.66      2.01
22:26:56      1.83      1.87
22:26:57      2.01      2.29
22:26:58      1.17      1.33
22:26:59      2.31      2.11
22:27:00      1.72      1.97
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:01      1.66      1.81
22:27:02      1.62      1.84
22:27:03      2.27      2.57
22:27:04      2.14      1.96
22:27:05      1.97      2.16
22:27:06      1.72      1.94
22:27:07      2.46      2.88
22:27:08      1.32      1.49
22:27:09      2.39      2.45
22:27:10      2.18      2.50
22:27:11      2.30      2.67
22:27:12      1.58      1.75
22:27:13      2.04      2.20
22:27:14      2.18      2.30
22:27:15      2.02      2.38
22:27:16      1.55      1.54
22:27:17      1.83      2.31
22:27:18      2.16      2.62
22:27:19      2.67      2.97
22:27:20      1.69      2.03
22:27:21      1.90      2.10
22:27:22      2.03      1.93
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:23      1.90      2.07
22:27:24      1.76      1.88
22:27:25      2.54      2.59
22:27:26      1.75      2.13
22:27:27      1.51      1.72
22:27:28      2.30      2.51
22:27:29      4.88      5.91
22:27:30      2.06      2.78
22:27:31      2.56      2.55
22:27:32      1.23      1.60
22:27:33      2.09      2.30
22:27:34      4.17      4.55
22:27:35      2.13      2.39
22:27:36      1.44      1.93
22:27:37      2.67      2.71
22:27:38      1.76      2.01
22:27:39      2.66      2.88
22:27:40      2.25      2.49
22:27:41      1.93      2.00
22:27:42      1.52      1.76
22:27:43      2.06      2.28
22:27:44      2.35      2.52
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:45      1.81      2.14
22:27:46      1.92      2.14
22:27:47      2.12      2.30
22:27:48      1.46      1.69
22:27:49      2.11      1.91
22:27:50      1.88      2.38
22:27:51      2.15      1.99
22:27:52      1.94      2.22
22:27:53      1.81      2.00
22:27:54      2.44      2.49
22:27:55      1.40      1.43
22:27:56      1.93      2.23
22:27:57      2.36      2.38
22:27:58      1.77      1.95
22:27:59      1.35      1.60
22:28:00      2.30      2.87
22:28:01      1.78      2.08
22:28:02      1.37      1.71
22:28:03      1.50      1.57
22:28:04      2.05      1.87
22:28:05      1.40      1.60
22:28:06      2.18      2.42
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:28:07      1.63      1.84
22:28:08      1.94      2.48
22:28:09      2.04      1.88
22:28:10      2.04      2.58
22:28:11      1.76      1.95
22:28:12      2.00      2.47
22:28:13      1.92      1.81
22:28:14      1.82      2.16
22:28:15      1.95      2.24
22:28:16      2.05      2.46
22:28:17      2.12      2.39
22:28:18      2.03      2.17
22:28:19      1.98      1.98
22:28:20      1.86      1.92
22:28:21      1.92      2.06
22:28:22      1.69      2.02
22:28:23      1.71      1.54
22:28:24      2.21      2.23
22:28:25      1.52      1.83
22:28:26      2.19      2.11
22:28:27      1.79      2.01
22:28:28      1.51      1.84
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:28:29      2.06      2.10
22:28:30      1.60      1.76
22:28:31      1.64      2.09
22:28:32      2.82      2.76
22:28:33      1.69      1.80
22:28:34      1.65      1.96
22:28:35      2.00      2.31
22:28:36      2.01      2.08
22:28:37      1.45      1.64
22:28:38      2.06      2.42
22:28:39      2.22      2.54
22:28:40      1.91      2.14
22:28:41      1.99      2.05
22:28:42      1.52      1.74
22:28:43      1.41      1.56
22:28:44      1.68      1.66
22:28:45      1.43      1.71
22:28:46      2.81      3.22
22:28:47      6.40      5.19
22:28:48      3.08      2.70
22:28:49      2.25      2.07
22:28:50      1.61      1.93
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:28:51      2.05      2.46
22:28:52      1.85      1.66
22:28:53      1.91      2.26
22:28:54      2.49      2.88
22:28:55      2.31      2.22
22:28:56      1.49      1.63
22:28:57      1.85      2.20
22:28:58      1.76      2.34
22:28:59      2.18      2.34
22:29:00      2.13      2.22
22:29:01      2.05      2.00
22:29:02      1.97      2.06
22:29:03      1.68      1.84
22:29:04      2.51      2.57
22:29:05      1.68      1.77
22:29:06      1.90      2.07
22:29:07      1.62      1.82
22:29:08      1.92      2.19
22:29:09      1.92      1.62
22:29:10      2.06      2.44
22:29:11      1.80      1.76
22:29:12      1.93      2.44
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:29:13      1.57      1.69
22:29:14      2.02      2.13
22:29:15      1.56      2.18
22:29:16      1.90      2.16
22:29:17      1.51      1.75
