procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10584    155   4908    0    0     0     3    4    4  1  0 99  0  0 2025-09-22 22:25:26
 0  0      0  10571    155   4908    0    0     0     4  514  689  4  1 95  0  0 2025-09-22 22:25:27
 0  0      0  10570    155   4908    0    0     0   112  392  576  1  1 99  0  0 2025-09-22 22:25:28
 0  0      0  10573    155   4908    0    0     0     0  284  342  0  1 99  0  0 2025-09-22 22:25:29
 0  0      0  10573    155   4908    0    0     0     0  143  205  0  0 100  0  0 2025-09-22 22:25:30
 0  0      0  10573    155   4908    0    0     0     0  159  236  0  0 100  0  0 2025-09-22 22:25:31
 0  0      0  10573    155   4908    0    0     0   324  274  330  1  1 99  0  0 2025-09-22 22:25:32
 0  0      0  10573    155   4908    0    0     0    40  271  343  1  1 98  0  0 2025-09-22 22:25:33
 0  0      0  10573    155   4908    0    0     0     0  150  212  0  0 100  0  0 2025-09-22 22:25:34
 0  0      0  10573    155   4908    0    0     0     0  145  211  0  0 100  0  0 2025-09-22 22:25:35
 0  0      0  10573    155   4908    0    0     0    24  168  255  0  0 100  0  0 2025-09-22 22:25:36
 0  0      0  10573    155   4908    0    0     0     0  144  204  0  0 100  0  0 2025-09-22 22:25:37
 0  0      0  10573    155   4908    0    0     0     0  157  231  0  0 100  0  0 2025-09-22 22:25:38
 0  0      0  10573    155   4908    0    0     0     0  131  208  0  0 100  0  0 2025-09-22 22:25:39
 0  0      0  10573    155   4908    0    0     0     0  178  260  0  0 100  0  0 2025-09-22 22:25:40
 0  0      0  10573    155   4908    0    0     0    16  151  223  0  0 100  0  0 2025-09-22 22:25:41
 0  0      0  10573    155   4908    0    0     0     0  148  201  0  0 100  0  0 2025-09-22 22:25:42
 0  0      0  10573    155   4908    0    0     0     0  128  197  0  0 100  0  0 2025-09-22 22:25:43
