Linux 5.4.0-216-generic (cloud2gxie) 	09/22/25 	_x86_64_	(4 CPU)

22:25:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:25:27     all    4.26    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   93.98
22:25:28     all    0.75    0.00    0.25    0.25    0.00    0.25    0.00    0.00    0.00   98.50
22:25:29     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:30     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:31     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:32     all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.00
22:25:33     all    1.76    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.99
22:25:34     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:36     all    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
22:25:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:38     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:40     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
22:25:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00   99.75
22:25:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:43     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:44     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:46     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:47     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:48     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:50     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:51     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.26
22:25:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:53     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:54     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:55     all    3.75    0.00    2.75    0.00    0.00    0.00    0.00    0.00    0.00   93.50
22:25:56     all   20.71   59.60    6.82    0.00    0.00    0.51    0.00    0.00    0.00   12.37
22:25:57     all    5.04   87.41    3.02    0.00    0.00    0.00    0.00    0.00    0.00    4.53
22:25:58     all    1.75   96.51    1.25    0.00    0.00    0.00    0.00    0.00    0.00    0.50
22:25:59     all    2.01   94.74    3.01    0.00    0.00    0.00    0.00    0.00    0.00    0.25
22:26:00     all    5.78   90.20    3.27    0.00    0.00    0.00    0.00    0.00    0.00    0.75
22:26:01     all   39.75   48.50    5.00    0.00    0.00    0.00    0.00    0.00    0.00    6.75
22:26:02     all   25.63   60.30    2.26    0.00    0.00    0.00    0.00    0.00    0.00   11.81
22:26:03     all   28.14   64.07    0.25    0.00    0.00    0.00    0.00    0.00    0.00    7.54
22:26:04     all   28.86   61.94    0.50    0.00    0.00    0.00    0.00    0.00    0.00    8.71
22:26:05     all   32.67   59.10    0.25    0.00    0.00    0.25    0.00    0.00    0.00    7.73
22:26:06     all   23.81   65.41    1.50    0.00    0.00    0.00    0.00    0.00    0.00    9.27
22:26:07     all   24.49   65.15    0.51    0.00    0.00    0.25    0.00    0.00    0.00    9.60
