  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:25:27      5.16      6.02
22:25:28      3.46      2.95
22:25:29      1.15      0.86
22:25:30      0.41      0.48
22:25:31      1.11      1.22
22:25:32      0.86      0.62
22:25:33      7.22      4.56
22:25:34      0.34      0.38
22:25:35      0.61      0.63
22:25:36      0.41      0.53
22:25:37      0.48      0.42
22:25:38      0.81      0.62
22:25:39      0.41      0.38
22:25:40      1.23      1.23
22:25:41      0.47      0.47
22:25:42      0.42      0.42
22:25:43      0.64      0.44
22:25:44      0.48      0.48
22:25:45      0.47      0.53
22:25:46      0.78      0.82
22:25:47      0.35      0.32
22:25:48      0.71      0.48
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:25:49      0.80      0.86
22:25:50      0.79      0.91
22:25:51      0.92      0.96
22:25:52      0.71      0.74
22:25:53      0.86      0.70
22:25:54      0.71      0.87
22:25:55      2.18      2.81
22:25:56      4.07      3.95
22:25:57      1.52      1.47
22:25:58      1.30      0.91
22:25:59      1.43      1.63
22:26:00      2.43      2.49
22:26:01      4.62      5.17
22:26:02      1.89      2.08
22:26:03      2.40      2.66
22:26:04      1.72      1.51
22:26:05      1.86      2.25
22:26:06      1.84      2.19
22:26:07      1.50      1.70
22:26:08      1.63      1.68
22:26:09      1.57      1.79
22:26:10      2.34      2.99
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:11      1.25      1.31
22:26:12      1.92      2.08
22:26:13      1.40      1.29
22:26:14      1.51      1.54
22:26:15      1.59      1.75
22:26:16      1.88      2.10
22:26:17      1.66      1.80
22:26:18      1.92      1.87
22:26:19      1.92      2.20
22:26:20      1.14      1.45
22:26:21      1.59      1.89
22:26:22      1.66      1.74
22:26:23      1.99      1.93
22:26:24      1.60      1.37
22:26:25      1.76      2.22
22:26:26      1.94      2.27
22:26:27      2.01      1.85
22:26:28      2.18      2.23
22:26:29      1.72      1.70
22:26:30      2.03      2.23
22:26:31      1.60      1.57
22:26:32      1.42      1.37
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:33      2.04      2.04
22:26:34      1.40      1.74
22:26:35      1.59      1.96
22:26:36      1.88      2.27
22:26:37      1.74      1.83
22:26:38      1.65      1.54
22:26:39      1.63      1.82
22:26:40      1.58      1.89
22:26:41      1.69      1.97
22:26:42      1.27      1.40
22:26:43      2.64      2.68
22:26:44      1.42      1.50
22:26:45      1.75      1.96
22:26:46      1.97      2.13
22:26:47      1.68      1.78
22:26:48      1.68      1.58
22:26:49      1.56      1.87
22:26:50      2.20      2.42
22:26:51      1.52      1.54
22:26:52      1.37      1.68
22:26:53      2.05      1.79
22:26:54      1.37      1.40
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:55      2.28      2.53
22:26:56      1.51      1.35
22:26:57      2.67      2.67
22:26:58      2.30      2.31
22:26:59      2.59      2.40
22:27:00      1.35      1.59
22:27:01      1.83      2.24
22:27:02      1.72      2.08
22:27:03      2.18      2.26
22:27:04      2.38      2.40
22:27:05      1.97      2.26
22:27:06      1.91      2.20
22:27:07      2.30      2.50
22:27:08      1.91      1.71
22:27:09      2.12      2.09
22:27:10      2.27      2.56
22:27:11      1.73      2.06
22:27:12      2.26      2.44
22:27:13      2.28      2.34
22:27:14      1.17      1.43
22:27:15      2.14      2.62
22:27:16      1.59      1.91
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:17      2.36      2.68
22:27:18      4.06      5.30
22:27:19      3.45      3.55
22:27:20      2.05      2.55
22:27:21      2.11      2.30
22:27:22      2.33      2.15
22:27:23      2.91      2.88
22:27:24      2.32      2.16
22:27:25      1.82      1.74
22:27:26      1.93      2.42
22:27:27      1.74      1.69
22:27:28      2.57      2.44
22:27:29      2.43      2.46
22:27:30      1.57      2.09
22:27:31      1.89      2.30
22:27:32      1.92      2.23
22:27:33      1.82      1.83
22:27:34      1.80      2.26
22:27:35      1.80      1.88
22:27:36      2.60      2.83
22:27:37      2.24      2.34
22:27:38      1.61      1.62
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:39      2.36      2.84
22:27:40      1.89      2.36
22:27:41      1.96      2.17
22:27:42      1.90      2.24
22:27:43      1.71      1.85
