procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0  10613    154   4910    0    0     0     3    5    4  1  0 98  0  0 2025-09-22 22:56:38
 0  0      0  10608    154   4910    0    0     0     4  407  560  2  1 97  0  0 2025-09-22 22:56:39
 0  0      0  10599    154   4910    0    0     0    96  376  502  3  1 96  0  0 2025-09-22 22:56:40
 0  0      0  10599    154   4910    0    0     0    72  382  603  0  1 99  0  0 2025-09-22 22:56:41
 0  0      0  10599    154   4910    0    0     0     0  226  296  0  0 99  0  0 2025-09-22 22:56:42
 0  0      0  10599    154   4910    0    0     0     0  156  239  0  0 100  0  0 2025-09-22 22:56:43
 2  0      0  10599    154   4910    0    0     0     0  254  313  1  0 99  0  0 2025-09-22 22:56:44
 1  0      0  10599    154   4910    0    0     0    32  283  360  2  1 98  0  0 2025-09-22 22:56:45
 0  0      0  10599    154   4910    0    0     0     0  152  217  0  0 100  0  0 2025-09-22 22:56:46
 0  0      0  10599    154   4910    0    0     0     0  130  188  0  0 100  0  0 2025-09-22 22:56:47
 0  0      0  10599    154   4910    0    0     0     0  171  255  0  0 100  0  0 2025-09-22 22:56:48
 0  0      0  10599    154   4910    0    0     0     0  133  196  0  0 100  0  0 2025-09-22 22:56:49
 0  0      0  10599    154   4910    0    0     0    20  250  389  0  0 100  0  0 2025-09-22 22:56:50
 0  0      0  10599    154   4910    0    0     0     0  136  195  0  0 100  0  0 2025-09-22 22:56:51
 0  0      0  10599    154   4910    0    0     0     0  154  219  0  0 100  0  0 2025-09-22 22:56:52
 0  0      0  10599    154   4910    0    0     0     0  156  239  0  0 100  0  0 2025-09-22 22:56:53
 0  0      0  10599    154   4910    0    0     0     0  171  245  0  0 100  0  0 2025-09-22 22:56:54
 0  0      0  10599    154   4910    0    0     0    20  153  228  0  0 100  0  0 2025-09-22 22:56:55
 0  0      0  10599    154   4910    0    0     0     8  160  220  0  0 100  0  0 2025-09-22 22:56:56
 0  0      0  10599    154   4910    0    0     0     0  149  217  0  0 100  0  0 2025-09-22 22:56:57
 0  0      0  10599    154   4910    0    0     0     0  174  247  0  0 100  0  0 2025-09-22 22:56:58
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10599    154   4910    0    0     0     0  148  232  0  0 100  0  0 2025-09-22 22:56:59
 0  0      0  10599    154   4910    0    0     0    36  170  256  0  0 100  0  0 2025-09-22 22:57:00
 0  0      0  10599    154   4910    0    0     0     4  151  221  0  0 100  0  0 2025-09-22 22:57:01
 0  0      0  10514    154   4910    0    0     0     0  918 1550 10  5 86  0  0 2025-09-22 22:57:02
 1  0      0  10277    154   4910    0    0     0     0  775  733 35  3 62  0  0 2025-09-22 22:57:03
 2  0      0  10085    154   4910    0    0     0     0 1553 2179 55  6 39  0  0 2025-09-22 22:57:04
 5  0      0   9807    154   4910    0    0     0    52 1259  922 84  4 13  0  0 2025-09-22 22:57:05
 7  0      0   9798    154   4910    0    0     0     0 1385 1076 96  1  3  0  0 2025-09-22 22:57:06
 3  0      0   9797    154   4910    0    0     0     4 1374 1084 94  1  5  0  0 2025-09-22 22:57:07
 6  0      0   9793    154   4911    0    0     0     0 1498 1403 91  2  8  0  0 2025-09-22 22:57:08
 5  0      0   9798    154   4911    0    0     0     0 1436 1252 90  1  9  0  0 2025-09-22 22:57:09
 7  0      0   9798    154   4911    0    0     0    20 1381 1067 95  1  5  0  0 2025-09-22 22:57:10
 3  0      0   9798    154   4911    0    0     0     0 1468 1237 93  1  6  0  0 2025-09-22 22:57:11
 3  0      0   9798    154   4911    0    0     0   276 1310  859 97  0  3  0  0 2025-09-22 22:57:12
 5  0      0   9797    154   4911    0    0     0     0 1452 1240 94  1  5  0  0 2025-09-22 22:57:13
 4  0      0   9796    154   4912    0    0     0     0 1417 1183 93  1  6  0  0 2025-09-22 22:57:14
 5  0      0   9796    154   4912    0    0     0    36 1320  954 94  1  5  0  0 2025-09-22 22:57:15
 3  0      0   9796    154   4912    0    0     0     0 1268  812 96  1  4  0  0 2025-09-22 22:57:16
 3  0      0   9795    154   4912    0    0     0  1888 1351 1001 93  1  6  0  0 2025-09-22 22:57:17
 4  0      0   9794    154   4912    0    0     0     0 1295  948 94  1  5  0  0 2025-09-22 22:57:18
 3  0      0   9794    154   4912    0    0     0     0 1394 1181 94  1  5  0  0 2025-09-22 22:57:19
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 7  0      0   9794    154   4913    0    0     0    52 1366 1041 94  1  5  0  0 2025-09-22 22:57:20
 4  0      0   9794    154   4913    0    0     0     0 1327  940 95  1  5  0  0 2025-09-22 22:57:21
 4  0      0   9794    154   4913    0    0     0     0 1293  863 94  1  6  0  0 2025-09-22 22:57:22
 4  0      0   9794    154   4913    0    0     0     0 1357 1042 95  1  5  0  0 2025-09-22 22:57:23
