  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:56:39      3.95      3.67
22:56:40      3.21      3.83
22:56:41      3.46      3.19
22:56:42      0.55      0.84
22:56:43      0.70      0.77
22:56:44      0.79      0.86
22:56:45      7.21      4.66
22:56:46      0.65      0.67
22:56:47      0.41      0.47
22:56:48      0.48      0.42
22:56:49      0.58      0.38
22:56:50      0.54      0.69
22:56:51      0.68      0.38
22:56:52      0.49      0.64
22:56:53      0.81      0.67
22:56:54      1.21      0.73
22:56:55      0.64      0.78
22:56:56      0.42      0.42
22:56:57      0.97      0.65
22:56:58      0.42      0.42
22:56:59      0.88      0.77
22:57:00      0.76      1.01
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:01      0.68      0.70
22:57:02      3.71      4.84
22:57:03      3.12      2.48
22:57:04      3.44      3.84
22:57:05      2.54      2.41
22:57:06      2.47      2.59
22:57:07      1.96      2.17
22:57:08      2.18      2.68
22:57:10      1.85      1.90
22:57:11      2.40      2.69
22:57:12      2.06      2.43
22:57:13      1.60      1.43
22:57:14      2.11      2.32
22:57:15      2.58      2.49
22:57:16      1.46      1.69
22:57:17      2.21      2.57
22:57:18      2.12      2.32
22:57:19      1.86      1.94
22:57:20      2.01      1.93
22:57:21      2.62      2.39
22:57:22      2.12      2.24
22:57:23      1.86      2.17
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:24      1.66      1.49
22:57:25      2.22      2.23
22:57:26      1.59      2.21
22:57:27      2.39      2.32
22:57:28      1.70      1.84
22:57:29      1.86      2.27
22:57:30      1.91      1.88
22:57:31      2.37      2.69
22:57:32      1.65      1.88
22:57:33      1.83      2.40
22:57:34      1.36      1.40
22:57:35      2.15      2.53
22:57:36      2.24      2.64
22:57:37      2.17      2.54
22:57:38      1.86      2.40
22:57:39      2.15      2.52
22:57:40      1.69      1.72
22:57:41      2.00      2.18
22:57:42      2.11      2.38
22:57:43      2.11      2.51
22:57:44      2.14      2.28
22:57:45      1.74      1.66
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:57:46      2.06      2.61
22:57:47      1.77      2.12
22:57:48      2.50      2.85
22:57:49      1.83      2.20
22:57:50      2.80      2.57
22:57:51      1.86      2.42
22:57:52      1.82      1.92
22:57:53      2.45      2.27
22:57:54      2.17      2.08
22:57:55      2.64      2.21
22:57:56      1.86      2.21
22:57:57      1.71      1.87
22:57:58      2.34      2.56
22:57:59      1.85      2.01
22:58:00      2.01      2.13
22:58:01      2.21      2.69
22:58:02      2.16      2.35
22:58:03      1.94      1.98
22:58:04      2.17      2.24
22:58:05      2.25      2.47
22:58:06      2.51      2.85
22:58:07      2.21      2.58
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:58:08      2.04      2.42
22:58:09      2.25      2.56
22:58:10      2.27      2.60
22:58:11      2.26      2.39
22:58:12      2.28      2.68
22:58:13      2.21      2.37
22:58:14      1.90      2.08
22:58:15      2.00      2.40
22:58:16      2.29      2.52
22:58:17      2.25      2.58
22:58:18      2.40      2.23
22:58:19      1.95      2.29
22:58:20      2.71      3.15
22:58:21      2.64      2.63
22:58:22      1.98      2.48
22:58:23      2.08      2.34
22:58:24      2.32      2.41
22:58:25      1.91      2.22
22:58:26      2.35      2.49
22:58:27      2.13      2.31
22:58:28      2.09      2.56
22:58:29      1.95      2.09
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:58:30      2.36      2.59
22:58:31      1.98      2.57
22:58:32      2.21      2.65
22:58:33      2.26      2.50
22:58:34      2.06      2.27
22:58:35      2.24      2.55
22:58:36      2.19      2.51
22:58:37      1.97      2.12
22:58:38      2.34      2.43
22:58:39      1.76      1.97
22:58:40      2.27      2.34
22:58:41      2.33      2.44
22:58:42      2.17      2.40
22:58:43      1.92      2.33
22:58:44      2.31      2.55
22:58:45      2.11      2.28
22:58:46      2.13      2.47
22:58:47      2.30      2.35
22:58:48      1.64      2.03
22:58:49      1.99      2.23
22:58:50      2.65      2.30
22:58:51      2.22      2.76
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:58:52      2.49      2.98
22:58:53      2.17      2.15
22:58:54      2.39      2.64
22:58:55      2.11      2.22
22:58:56      2.19      2.47
22:58:57      2.08      2.54
22:58:58      2.93      2.92
22:58:59      1.97      2.44
22:59:00      2.31      2.43
22:59:01      2.26      2.67
22:59:02      2.02      2.47
22:59:03      2.14      2.11
22:59:04      2.05      2.29
22:59:05      2.43      2.42
22:59:06      2.40      2.64
22:59:07      2.03      2.44
22:59:08      2.13      2.35
22:59:09      1.70      2.02
22:59:10      2.44      2.32
22:59:11      2.45      2.97
22:59:12      2.03      2.32
22:59:13      3.52      4.18
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:59:14      2.83      3.07
22:59:15      1.84      2.00
22:59:16      2.26      2.14
22:59:17      1.75      2.01
22:59:18      1.88      1.81
22:59:19      1.95      1.62
22:59:20      2.09      2.16
22:59:21      1.35      1.53
22:59:22      2.24      2.00
22:59:23      1.48      1.84
22:59:24      1.65      1.82
22:59:25      1.85      1.88
22:59:26      1.75      1.99
22:59:27      1.59      1.94
22:59:28      1.84      2.02
22:59:29      1.76      1.75
22:59:30      1.92      2.07
22:59:31      1.76      1.93
22:59:32      1.61      2.06
22:59:33      1.76      2.08
22:59:34      1.56      1.66
22:59:35      1.79      2.03
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:59:36      1.92      2.06
22:59:37      1.76      1.97
22:59:38      1.68      1.92
22:59:39      1.31      1.44
22:59:40      2.00      1.69
22:59:41      1.64      2.09
22:59:42      1.75      2.04
22:59:43      1.71      2.08
22:59:44      1.41      1.70
22:59:45      2.30      1.85
22:59:46      1.74      1.99
22:59:47      1.63      2.13
22:59:48      2.13      2.09
22:59:49      1.75      1.87
22:59:50      2.25      2.04
22:59:51      1.78      1.67
22:59:52      1.74      2.00
22:59:53      1.57      1.82
22:59:54      1.91      1.89
22:59:55      1.80      1.77
22:59:56      2.00      2.26
22:59:57      1.67      1.96
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:59:58      2.21      2.32
22:59:59      1.32      1.67
23:00:00      2.26      2.46
23:00:01      1.79      1.95
23:00:02      2.16      2.06
23:00:03      1.42      1.70
23:00:04      1.74      2.08
23:00:05      2.03      1.81
23:00:06      1.95      2.32
23:00:07      2.13      2.60
23:00:08      1.38      1.50
23:00:09      1.73      2.08
23:00:10      1.63      1.62
23:00:11      1.60      2.06
23:00:12      1.62      1.81
23:00:13      1.90      2.03
23:00:14      1.55      1.57
23:00:15      1.80      1.86
23:00:16      1.68      2.03
23:00:17      1.94      1.92
23:00:18      1.96      2.11
23:00:19      2.07      2.35
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:00:20      1.90      1.56
23:00:21      1.76      1.98
23:00:22      1.40      1.76
23:00:23      1.74      2.01
23:00:24      1.38      1.66
23:00:25      2.01      2.17
23:00:26      1.83      2.16
23:00:27      1.56      1.93
23:00:28      1.84      1.95
23:00:29      1.84      2.07
23:00:30      2.03      1.92
23:00:31      1.22      1.48
23:00:32      1.97      2.23
23:00:33      1.33      1.73
23:00:34      2.04      2.32
23:00:35      1.97      1.95
23:00:36      1.99      2.35
23:00:37      1.58      1.83
23:00:38      2.02      2.23
23:00:39      1.56      1.67
23:00:40      2.03      2.13
23:00:41      2.02      2.10
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:00:42      1.70      1.92
23:00:43      1.76      1.58
23:00:44      1.59      1.87
23:00:45      1.85      2.02
23:00:46      2.41      2.30
23:00:47      1.52      1.67
23:00:48      1.63      1.86
23:00:49      2.03      1.71
23:00:50      1.84      1.53
23:00:51      1.58      1.72
23:00:52      1.97      1.96
23:00:53      1.67      1.97
23:00:54      1.68      1.92
23:00:55      1.88      2.04
23:00:56      1.57      1.63
23:00:57      1.80      2.19
23:00:58      1.60      1.67
23:00:59      1.76      2.00
23:01:00      1.77      2.03
23:01:01      1.96      2.18
23:01:02      1.53      1.63
23:01:03      1.51      1.79
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:01:04      1.82      2.15
23:01:05      1.82      1.92
23:01:06      1.67      1.80
23:01:07      1.90      2.41
23:01:08      1.84      1.96
23:01:09      1.70      1.63
23:01:10      1.74      2.05
23:01:11      2.12      2.27
23:01:12      1.98      1.74
23:01:13      1.46      1.75
23:01:14      1.87      2.06
23:01:15      2.00      1.81
23:01:16      2.02      2.15
23:01:17      1.94      2.42
23:01:18      2.08      1.84
23:01:19      1.75      1.92
23:01:20      1.88      1.88
23:01:21      1.19      1.67
23:01:22      1.45      1.79
23:01:23      1.71      2.18
23:01:24      2.09      1.93
23:01:25      1.54      1.95
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:01:26      1.78      1.92
23:01:27      1.69      2.05
23:01:28      1.74      1.82
23:01:29      1.97      2.13
23:01:30      1.74      1.76
23:01:31      1.94      2.31
23:01:32      1.67      1.63
23:01:33      1.75      1.97
23:01:34      2.06      1.89
23:01:35      1.51      1.99
23:01:36      1.74      1.87
23:01:37      1.74      2.14
23:01:38      1.54      1.63
23:01:39      1.98      2.00
23:01:40      1.86      2.16
23:01:41      1.69      1.76
23:01:42      1.89      2.10
23:01:43      1.74      1.99
23:01:44      1.91      1.75
23:01:45      1.96      2.03
23:01:46      1.73      2.03
23:01:47      2.18      2.18
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:01:48      1.25      1.54
23:01:49      2.20      2.24
23:01:50      1.62      1.96
23:01:51      1.38      1.68
23:01:52      2.03      2.37
23:01:53      1.42      1.65
23:01:54      1.91      1.66
23:01:55      1.38      1.72
23:01:56      1.80      1.97
23:01:57      1.91      2.23
23:01:58      1.68      1.87
23:01:59      1.60      1.72
23:02:00      1.81      1.88
23:02:01      1.75      2.21
23:02:02      1.60      2.00
23:02:03      1.62      1.89
23:02:04      1.70      1.74
23:02:05      1.67      1.91
23:02:06      1.87      1.97
23:02:07      1.62      1.94
23:02:08      1.27      1.64
23:02:09      1.56      1.79
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:02:10      2.20      1.99
23:02:11      1.70      1.92
23:02:12      1.53      1.90
23:02:13      1.94      1.86
23:02:14      1.76      1.88
23:02:15      1.92      2.24
23:02:16      1.77      1.71
23:02:17      2.05      2.49
23:02:18      1.67      1.72
23:02:19      1.99      2.18
23:02:20      1.55      1.49
23:02:21      1.51      1.82
23:02:22      1.53      1.91
23:02:23      1.55      1.79
23:02:24      1.60      1.79
23:02:25      1.62      1.72
23:02:26      1.73      2.10
23:02:27      1.52      1.83
23:02:28      1.67      1.89
23:02:29      1.78      2.00
23:02:30      1.46      1.49
23:02:31      1.38      1.70
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:02:32      1.95      2.22
23:02:33      1.49      1.90
23:02:34      1.72      1.58
23:02:35      1.49      1.80
23:02:36      1.57      1.82
23:02:37      1.67      2.05
23:02:38      1.80      2.00
23:02:39      1.87      1.79
23:02:40      1.87      1.82
23:02:41      1.18      1.49
23:02:42      4.07      5.74
23:02:43      4.98      4.18
23:02:44      2.17      2.33
23:02:45      1.40      1.16
23:02:46      1.75      2.13
23:02:47      1.88      2.01
23:02:48      1.31      1.53
23:02:49      1.74      1.74
23:02:50      1.46      1.64
23:02:51      1.40      1.61
23:02:52      1.44      1.78
23:02:53      1.51      1.67
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:02:54      1.96      1.96
23:02:55      1.52      1.67
23:02:56      1.44      1.71
23:02:57      1.75      2.00
23:02:58      1.67      1.88
23:02:59      1.62      1.48
23:03:00      1.38      1.56
23:03:01      1.52      1.81
23:03:02      1.73      2.04
23:03:03      1.45      1.66
23:03:04      1.55      1.63
23:03:05      1.70      1.89
23:03:06      1.14      1.30
23:03:07      1.60      1.95
23:03:08      1.71      1.45
23:03:09      1.87      2.20
23:03:10      1.51      1.67
23:03:11      1.80      1.88
23:03:12      1.52      1.83
23:03:13      1.16      1.35
23:03:14      1.77      1.57
23:03:15      1.07      1.41
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:03:16      1.74      1.96
23:03:17      1.48      1.96
23:03:18      1.35      1.44
23:03:19      1.91      2.05
23:03:20      1.57      1.66
23:03:21      1.24      1.50
23:03:22      1.38      1.53
23:03:23      1.14      1.39
23:03:24      1.66      1.55
23:03:25      1.46      1.79
23:03:26      1.57      1.82
23:03:27      1.37      1.71
23:03:28      1.44      1.63
23:03:29      1.59      1.72
23:03:30      1.13      1.16
23:03:31      1.51      1.80
23:03:32      1.94      2.34
23:03:33      1.52      1.78
23:03:34      1.53      1.41
23:03:35      1.21      1.45
23:03:36      1.37      1.56
23:03:37      1.84      1.82
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
23:03:38      1.17      1.47
23:03:39      1.51      1.72
23:03:40      1.70      1.30
23:03:41      1.73      2.19
23:03:42      1.38      1.57
23:03:43      1.79      1.66
23:03:44      1.48      1.63
23:03:45      1.22      1.49
23:03:46      1.44      1.70
23:03:47      1.56      2.08
23:03:48      1.38      1.49
23:03:49      1.49      1.47
23:03:50      1.45      1.74
23:03:51      1.37      1.71
23:03:52      1.27      1.42
23:03:53      1.20      1.42
23:03:54      1.72      1.91
23:03:55      1.32      1.62
23:03:56      1.34      1.59
23:03:57      1.78      2.17
