  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:25:20      3.48      3.09
22:25:21      5.56      6.04
22:25:22      2.51      2.49
22:25:23      0.61      0.83
22:25:24      0.56      0.66
22:25:25      0.72      0.80
22:25:26      7.20      4.48
22:25:27      0.95      0.66
22:25:28      0.35      0.53
22:25:29      0.87      0.48
22:25:30      0.35      0.38
22:25:31      0.90      0.81
22:25:32      1.08      0.64
22:25:33      0.64      0.66
22:25:34      0.35      0.38
22:25:35      0.54      0.42
22:25:36      0.41      0.47
22:25:37      0.71      0.49
22:25:38      0.58      0.78
22:25:39      0.77      0.68
22:25:40      1.09      1.03
22:25:41      0.88      0.90
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:25:42      0.79      0.71
22:25:43      0.82      1.02
22:25:45      0.62      0.70
22:25:46      0.82      0.74
22:25:47      0.92      0.99
22:25:48      0.99      0.80
22:25:49      0.69      0.91
22:25:50      1.21      1.16
22:25:51      0.57      0.64
22:25:52      1.06      1.08
22:25:53      0.86      0.70
22:25:54      3.72      5.11
22:25:55      2.83      2.20
22:25:56      1.61      1.29
22:25:57      0.96      1.26
22:25:58      2.97      3.09
22:25:59      4.32      4.41
22:26:00      1.84      1.83
22:26:01      1.45      1.86
22:26:02      1.99      2.02
22:26:03      1.66      1.45
22:26:04      1.71      1.73
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:05      1.66      1.97
22:26:06      1.76      1.78
22:26:07      1.55      1.90
22:26:08      2.38      2.40
22:26:09      1.36      1.54
22:26:10      1.69      1.82
22:26:11      1.64      1.99
22:26:12      1.88      1.92
22:26:13      1.77      1.64
22:26:14      2.11      2.50
22:26:15      1.36      1.70
22:26:16      1.59      1.66
22:26:17      2.15      2.16
22:26:18      2.01      1.82
22:26:19      1.76      2.14
22:26:20      1.69      2.10
22:26:21      1.57      1.72
22:26:22      1.95      2.15
22:26:23      1.61      1.38
22:26:24      1.74      1.52
22:26:25      1.44      1.66
22:26:26      1.46      1.75
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:27      1.95      1.66
22:26:28      1.62      1.48
22:26:29      1.91      2.31
22:26:30      2.02      1.64
22:26:31      1.54      1.59
22:26:32      1.62      2.00
22:26:33      1.75      1.79
22:26:34      1.76      2.06
22:26:35      2.44      3.05
22:26:36      2.25      2.55
22:26:37      1.72      2.16
22:26:38      1.94      1.87
22:26:39      1.89      2.26
22:26:40      1.96      2.29
22:26:41      1.85      2.18
22:26:42      1.83      2.03
22:26:43      2.20      2.13
22:26:44      2.33      2.69
22:26:45      1.56      1.73
22:26:46      1.55      1.75
22:26:47      2.07      2.63
22:26:48      1.81      1.86
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:26:49      1.87      2.21
22:26:50      1.70      1.71
22:26:51      1.59      1.75
22:26:52      2.29      2.80
22:26:53      2.10      2.03
22:26:54      1.91      2.03
22:26:55      2.19      2.26
22:26:56      2.27      2.15
22:26:57      2.15      2.55
22:26:58      1.78      1.79
22:26:59      2.38      2.41
22:27:00      2.19      2.61
22:27:01      2.55      2.78
22:27:02      1.53      1.68
22:27:03      2.07      2.32
22:27:04      1.86      1.97
22:27:05      2.31      2.66
22:27:06      1.76      1.86
22:27:07      2.20      2.90
22:27:08      1.98      2.21
22:27:09      2.11      2.22
22:27:10      2.19      2.29
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:11      2.04      2.30
22:27:12      1.79      2.18
22:27:13      2.04      2.28
22:27:14      1.73      1.99
22:27:15      2.16      2.41
22:27:16      1.67      1.76
22:27:17      1.79      2.23
22:27:18      1.90      2.13
22:27:19      2.54      3.07
22:27:20      1.71      1.84
22:27:21      2.05      2.32
22:27:22      2.37      2.43
22:27:23      2.06      2.34
22:27:24      1.68      1.96
22:27:25      2.15      2.09
22:27:26      2.10      2.22
22:27:27      1.44      1.89
22:27:28      2.56      2.29
22:27:29      2.16      2.71
22:27:30      1.94      2.03
22:27:31      1.85      2.10
22:27:32      1.64      2.06
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:33      2.14      2.26
22:27:34      2.19      2.42
22:27:35      1.70      2.00
22:27:36      1.92      1.92
22:27:37      2.15      2.50
22:27:38      1.90      2.09
22:27:39      2.14      2.50
22:27:40      1.39      1.52
22:27:41      2.10      2.29
22:27:42      2.10      2.32
22:27:43      1.89      1.72
22:27:44      1.61      1.88
22:27:45      1.51      2.31
22:27:46      1.74      2.02
22:27:47      2.35      2.69
22:27:48      1.99      1.96
22:27:49      1.88      2.26
22:27:50      2.13      2.20
22:27:51      2.30      1.97
22:27:52      1.57      1.82
22:27:53      2.27      2.16
22:27:54      2.38      2.36
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:27:55      1.73      2.03
22:27:56      1.70      1.80
22:27:57      2.23      2.07
22:27:58      1.89      2.26
22:27:59      1.98      2.16
22:28:00      1.55      1.86
22:28:01      2.14      2.30
22:28:02      1.96      2.12
22:28:03      2.10      2.23
22:28:04      1.54      1.84
22:28:05      1.98      2.42
22:28:06      2.21      2.21
22:28:07      2.21      2.23
22:28:08      2.04      2.11
22:28:09      1.81      2.14
22:28:10      1.38      1.66
22:28:11      1.72      1.87
22:28:12      1.98      2.67
22:28:13      2.05      2.01
22:28:14      1.96      2.18
22:28:15      1.86      2.20
22:28:16      1.67      1.80
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:28:17      1.95      2.21
22:28:18      2.19      2.23
22:28:19      1.98      2.34
22:28:20      2.23      2.04
22:28:21      2.06      2.41
22:28:22      1.54      1.82
22:28:23      3.07      3.07
22:28:24      1.90      2.37
22:28:25      1.51      1.56
22:28:26      2.48      2.42
22:28:27      1.85      2.34
22:28:28      1.90      1.96
22:28:29      2.16      2.40
22:28:30      1.82      1.91
22:28:31      2.20      2.40
22:28:32      1.74      2.07
22:28:33      2.20      2.24
22:28:34      1.58      1.81
22:28:35      1.90      2.17
22:28:36      1.84      1.86
22:28:37      1.68      1.94
22:28:38      2.01      2.14
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:28:39      1.72      1.96
22:28:40      1.78      1.80
22:28:41      1.62      1.78
22:28:42      2.29      2.79
22:28:43      1.94      1.95
22:28:44      1.97      2.19
22:28:45      2.12      2.51
22:28:46      1.54      1.73
22:28:47      2.41      2.64
22:28:48      1.88      1.66
22:28:49      2.49      2.64
22:28:50      1.44      1.63
22:28:51      1.98      2.49
22:28:52      2.12      1.95
22:28:53      2.03      2.29
22:28:54      1.94      2.36
22:28:55      2.01      2.00
22:28:56      2.38      2.63
22:28:57      1.86      2.31
22:28:58      2.14      2.31
22:28:59      1.70      1.97
22:29:00      1.88      2.10
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:29:01      2.20      2.67
22:29:02      2.04      2.19
22:29:03      1.70      1.70
22:29:04      1.86      2.09
22:29:05      2.04      2.41
22:29:06      2.28      2.40
22:29:07      1.54      2.12
22:29:08      1.97      1.94
22:29:09      1.99      2.36
22:29:10      1.86      2.05
22:29:11      2.14      2.32
22:29:12      1.91      2.06
22:29:13      2.14      2.20
22:29:14      1.93      2.05
22:29:15      1.91      2.06
22:29:16      2.05      2.36
22:29:17      2.08      2.26
22:29:18      2.73      2.40
22:29:19      2.14      2.55
22:29:20      7.92      8.66
22:29:21      2.88      3.28
22:29:22      1.58      1.60
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:29:23      2.30      2.46
22:29:24      2.50      2.49
22:29:25      1.64      1.90
