Linux 5.4.0-216-generic (cloud0gxie) 	09/22/25 	_x86_64_	(4 CPU)

22:25:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:25:20     all    1.51    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.49
22:25:21     all    3.24    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   95.51
22:25:22     all    0.75    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   97.51
22:25:23     all    0.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.00
22:25:24     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:25     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:26     all    1.50    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   97.99
22:25:27     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:28     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:29     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:30     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:32     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:33     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:35     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:37     all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
22:25:38     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:40     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:25:41     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:42     all    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.75
22:25:43     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:44     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:45     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:47     all    0.50    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.25
22:25:48     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:49     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:50     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:25:51     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:25:53     all   10.95    0.00    4.48    0.00    0.00    0.50    0.00    0.00    0.00   84.08
22:25:54     all   13.50   62.25    9.50    0.00    0.00    0.50    0.00    0.00    0.00   14.25
22:25:55     all    5.03   85.93    3.52    0.00    0.00    0.00    0.00    0.00    0.00    5.53
22:25:56     all    0.25   98.50    0.75    0.00    0.00    0.00    0.00    0.00    0.00    0.50
22:25:57     all    8.96   83.08    7.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:25:58     all   18.64   73.05    6.30    0.00    0.00    0.00    0.00    0.00    0.00    2.02
22:25:59     all   19.00   72.50    2.25    0.00    0.00    0.25    0.00    0.00    0.00    6.00
22:26:00     all   22.00   71.50    1.00    0.00    0.00    0.00    0.00    0.00    0.00    5.50
22:26:01     all   20.30   73.93    0.25    0.00    0.00    0.00    0.25    0.00    0.00    5.26
22:26:02     all   19.85   73.62    0.50    0.00    0.00    0.00    0.00    0.00    0.00    6.03
22:26:03     all   24.07   70.22    0.50    0.00    0.00    0.00    0.00    0.00    0.00    5.21
22:26:04     all   24.06   72.43    1.00    0.00    0.00    0.00    0.00    0.00    0.00    2.51
22:26:05     all   23.12   71.61    0.50    0.00    0.00    0.00    0.00    0.00    0.00    4.77
22:26:06     all   20.40   73.63    0.25    0.00    0.00    0.25    0.00    0.00    0.00    5.47
22:26:07     all   23.56   72.18    0.25    0.00    0.00    0.00    0.00    0.00    0.00    4.01
22:26:08     all   21.30   72.93    0.25    0.00    0.00    0.00    0.00    0.00    0.00    5.51
22:26:09     all   27.36   67.66    0.75    0.00    0.00    0.25    0.00    0.00    0.00    3.98
22:26:10     all   20.55   73.43    0.25    0.00    0.00    0.00    0.00    0.00    0.00    5.76
22:26:11     all   24.37   70.85    0.25    0.00    0.00    0.00    0.00    0.00    0.00    4.52
22:26:12     all   19.95   73.07    0.50    0.25    0.00    0.00    0.00    0.00    0.00    6.23
22:26:13     all   21.86   72.36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.78
22:26:14     all   25.19   62.47    1.01    0.00    0.00    0.00    0.00    0.00    0.00   11.34
22:26:15     all   21.45   73.57    0.75    0.00    0.00    0.00    0.50    0.00    0.00    3.74
22:26:16     all   22.75   72.25    0.25    0.00    0.00    0.00    0.00    0.00    0.00    4.75
22:26:17     all   24.18   70.28    0.50    0.00    0.00    0.00    0.00    0.00    0.00    5.04
22:26:18     all   22.06   73.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.51
22:26:19     all   39.70   52.51    1.51    0.00    0.00    0.00    0.00    0.00    0.00    6.28
22:26:20     all   23.38   71.89    0.75    0.00    0.00    0.00    0.00    0.00    0.00    3.98
22:26:21     all   27.07   67.92    0.25    0.00    0.00    0.00    0.25    0.00    0.00    4.51
22:26:22     all   20.35   74.12    0.50    0.25    0.00    0.25    0.00    0.00    0.00    4.52
22:26:23     all   18.25   76.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00    5.50
22:26:24     all   21.46   71.72    0.76    0.00    0.00    0.25    0.00    0.00    0.00    5.81
22:26:25     all   20.84   73.95    0.99    0.00    0.00    0.00    0.00    0.00    0.00    4.22
22:26:26     all   23.04   72.91    0.25    0.00    0.00    0.00    0.00    0.00    0.00    3.80
22:26:27     all   21.30   72.43    0.00    0.00    0.00    0.25    0.00    0.00    0.00    6.02
22:26:28     all   21.84   71.46    0.25    0.00    0.00    0.25    0.25    0.00    0.00    5.96
22:26:29     all   22.17   72.29    0.76    0.00    0.00    0.00    0.00    0.00    0.00    4.79
22:26:30     all   19.75   74.25    0.75    0.00    0.00    0.00    0.00    0.00    0.00    5.25
22:26:31     all   20.50   71.50    0.25    0.00    0.00    0.00    0.00    0.00    0.00    7.75
22:26:32     all   22.11   73.62    0.25    0.00    0.00    0.00    0.00    0.00    0.00    4.02
22:26:33     all   20.25   74.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00    5.25
22:26:34     all   22.06   72.68    0.50    0.00    0.00    0.00    0.00    0.00    0.00    4.76
22:26:35     all   23.74   67.42    0.25    0.00    0.00    0.25    0.00    0.00    0.00    8.33
22:26:36     all   21.45   72.32    0.25    0.00    0.00    0.00    0.00    0.00    0.00    5.99
22:26:37     all   19.35   74.12    0.25    0.25    0.00    0.00    0.00    0.00    0.00    6.03
22:26:38     all   28.36   67.16    0.50    0.00    0.00    0.00    0.00    0.00    0.00    3.98
22:26:39     all   21.36   72.61    0.75    0.00    0.00    0.50    0.00    0.00    0.00    4.77
22:26:40     all   24.50   71.25    0.75    0.00    0.00    0.00    0.00    0.00    0.00    3.50
22:26:41     all   19.55   75.19    0.25    0.00    0.00    0.00    0.00    0.00    0.00    5.01
22:26:42     all   23.00   72.50    0.25    0.00    0.00    0.00    0.00    0.00    0.00    4.25
22:26:43     all   20.70   73.07    0.50    0.00    0.00    0.00    0.25    0.00    0.00    5.49
22:26:44     all   21.86   70.10    0.75    0.00    0.00    0.25    0.00    0.00    0.00    7.04
22:26:45     all   20.30   73.68    0.75    0.00    0.00    0.00    0.00    0.00    0.00    5.26
22:26:46     all   24.87   70.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.27
22:26:47     all   23.38   70.15    1.00    0.00    0.00    0.25    0.00    0.00    0.00    5.22
22:26:48     all   19.75   75.25    0.25    0.00    0.00    0.25    0.00    0.00    0.00    4.50
22:26:49     all   17.71   74.81    0.50    0.00    0.00    0.50    0.00    0.00    0.00    6.48
22:26:50     all   19.30   73.68    1.00    0.00    0.00    0.00    0.00    0.00    0.00    6.02
22:26:51     all   25.38   68.59    0.50    0.00    0.00    0.00    0.00    0.00    0.00    5.53
