procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10564    155   4920    0    0     0     3    1    1  1  0 99  0  0 2025-09-22 22:25:19
 0  0      0  10560    155   4920    0    0     0     4  388  519  2  1 98  0  0 2025-09-22 22:25:20
 0  0      0  10551    155   4920    0    0     0    88  533  725  3  1 96  0  0 2025-09-22 22:25:21
 0  0      0  10549    155   4920    0    0     0   236  461  535  1  1 98  0  0 2025-09-22 22:25:22
 0  0      0  10550    155   4920    0    0     0     0  282  337  0  0 99  0  0 2025-09-22 22:25:23
 0  0      0  10550    155   4920    0    0     0     0  177  224  0  0 100  0  0 2025-09-22 22:25:24
 0  0      0  10550    155   4920    0    0     0     0  268  312  0  1 99  0  0 2025-09-22 22:25:25
 0  0      0  10550    155   4920    0    0     0    56  314  359  2  0 98  0  0 2025-09-22 22:25:26
 0  0      0  10550    155   4920    0    0     0     0  179  227  0  0 100  0  0 2025-09-22 22:25:27
 0  0      0  10550    155   4920    0    0     0     0  176  231  0  0 100  0  0 2025-09-22 22:25:28
 0  0      0  10550    155   4920    0    0     0     0  195  228  0  0 100  0  0 2025-09-22 22:25:29
 0  0      0  10550    155   4920    0    0     0     0  164  219  0  0 100  0  0 2025-09-22 22:25:30
 0  0      0  10550    155   4920    0    0     0    16  202  257  0  0 100  0  0 2025-09-22 22:25:31
 0  0      0  10550    155   4920    0    0     0     0  190  238  0  0 100  0  0 2025-09-22 22:25:32
 0  0      0  10550    155   4920    0    0     0     0  171  231  0  0 100  0  0 2025-09-22 22:25:33
 0  0      0  10550    155   4920    0    0     0     0  161  206  0  0 100  0  0 2025-09-22 22:25:34
 0  0      0  10550    155   4920    0    0     0     0  177  225  0  0 100  0  0 2025-09-22 22:25:35
 0  0      0  10550    155   4920    0    0     0    16  178  239  0  0 100  0  0 2025-09-22 22:25:36
 0  0      0  10550    155   4920    0    0     0     0  167  212  0  0 100  0  0 2025-09-22 22:25:37
 0  0      0  10550    155   4920    0    0     0     0  176  244  0  0 100  0  0 2025-09-22 22:25:38
 0  0      0  10550    155   4920    0    0     0     0  191  240  0  0 100  0  0 2025-09-22 22:25:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0  10550    155   4920    0    0     0     0  205  287  0  0 100  0  0 2025-09-22 22:25:40
 0  0      0  10550    155   4920    0    0     0    16  193  273  0  0 100  0  0 2025-09-22 22:25:41
 0  0      0  10550    155   4920    0    0     0     0  181  252  0  0 100  0  0 2025-09-22 22:25:42
 0  0      0  10550    155   4920    0    0     0     0  182  250  0  0 100  0  0 2025-09-22 22:25:43
 0  0      0  10550    155   4920    0    0     0     0  184  246  0  0 100  0  0 2025-09-22 22:25:44
 0  0      0  10550    155   4920    0    0     0     0  186  255  0  0 100  0  0 2025-09-22 22:25:45
 0  0      0  10550    155   4920    0    0     0    16  193  262  0  0 100  0  0 2025-09-22 22:25:46
 0  0      0  10550    155   4920    0    0     0     0  179  240  0  0 100  0  0 2025-09-22 22:25:47
 0  0      0  10550    155   4920    0    0     0     0  182  260  0  0 100  0  0 2025-09-22 22:25:48
 0  0      0  10550    155   4920    0    0     0     0  185  261  0  0 100  0  0 2025-09-22 22:25:49
 0  0      0  10550    155   4920    0    0     0     0  167  224  0  0 100  0  0 2025-09-22 22:25:50
 0  0      0  10550    155   4920    0    0     0    16  187  265  0  0 100  0  0 2025-09-22 22:25:51
 0  0      0  10550    155   4920    0    0     0     0  179  243  0  0 100  0  0 2025-09-22 22:25:52
 2  0      0  10472    155   4920    0    0     0    12  921 1573 11  5 84  0  0 2025-09-22 22:25:53
 4  0      0  10264    155   4920    0    0     0     0 1104  636 77  9 14  0  0 2025-09-22 22:25:54
 4  0      0  10188    155   4920    0    0     0     0 1187  661 91  4  5  0  0 2025-09-22 22:25:55
 4  0      0  10176    155   4920    0    0     0    52 1116  377 99  1  1  0  0 2025-09-22 22:25:56
 7  0      0  10072    155   4920    0    0     0     0 1727 1962 92  8  0  0  0 2025-09-22 22:25:57
 6  0      0   9953    155   4921    0    0     0   240 1387 1359 91  6  3  0  0 2025-09-22 22:25:58
 7  0      0   9927    155   4921    0    0     0     0 1214  834 92  2  6  0  0 2025-09-22 22:25:59
 6  0      0   9913    155   4921    0    0     0     0 1210  862 93  1  6  0  0 2025-09-22 22:26:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 6  0      0   9905    155   4921    0    0     0    68 1158  763 95  1  5  0  0 2025-09-22 22:26:01
 6  0      0   9914    155   4921    0    0     0     0 1229  864 94  1  6  0  0 2025-09-22 22:26:02
 5  0      0   9914    155   4921    0    0     0     0 1208  793 95  0  5  0  0 2025-09-22 22:26:03
 6  0      0   9914    155   4921    0    0     0     0 1241  909 96  1  3  0  0 2025-09-22 22:26:04
 9  0      0   9914    155   4921    0    0     0     0 1194  792 95  0  4  0  0 2025-09-22 22:26:05
 7  0      0   9914    155   4921    0    0     0    16 1155  683 93  1  6  0  0 2025-09-22 22:26:06
 7  0      0   9913    155   4921    0    0     0     0 1249  883 96  0  4  0  0 2025-09-22 22:26:07
 8  0      0   9913    155   4921    0    0     0     0 1124  660 94  0  6  0  0 2025-09-22 22:26:08
 6  0      0   9912    155   4921    0    0     0   328 1251  974 96  1  4  0  0 2025-09-22 22:26:09
 5  0      0   9912    155   4921    0    0     0     0 1334 1084 94  0  6  0  0 2025-09-22 22:26:10
 5  0      0   9912    155   4921    0    0     0    36 1217  914 94  1  5  0  0 2025-09-22 22:26:11
 6  0      0   9912    155   4921    0    0     0     0 1153  703 94  1  6  0  0 2025-09-22 22:26:12
 6  0      0   9912    155   4921    0    0     0     0 1204  803 94  0  6  0  0 2025-09-22 22:26:13
 7  0      0   9912    155   4921    0    0     0     0 1275 1122 88  1 11  0  0 2025-09-22 22:26:14
 8  0      0   9912    155   4921    0    0     0     0 1205  881 96  1  4  0  0 2025-09-22 22:26:15
 7  0      0   9912    155   4921    0    0     0    20 1224  882 95  0  5  0  0 2025-09-22 22:26:16
 6  0      0   9912    155   4921    0    0     0     0 1193  805 94  1  6  0  0 2025-09-22 22:26:17
 6  0      0   9912    155   4921    0    0     0     0 1199  737 96  0  4  0  0 2025-09-22 22:26:18
 6  0      0   9912    155   4921    0    0     0     0 1350 1202 92  2  7  0  0 2025-09-22 22:26:19
 7  0      0   9912    155   4921    0    0     0   292 1223  913 96  1  4  0  0 2025-09-22 22:26:20
 5  0      0   9912    155   4921    0    0     0    36 1238  848 94  1  5  0  0 2025-09-22 22:26:21
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 7  0      0   9912    155   4921    0    0     0     0 1132  665 95  1  4  0  0 2025-09-22 22:26:22
 7  0      0   9912    155   4921    0    0     0     0 1116  597 94  0  6  0  0 2025-09-22 22:26:23
 7  0      0   9912    155   4921    0    0     0     0 1275  990 94  1  5  0  0 2025-09-22 22:26:24
 7  0      0   9911    155   4921    0    0     0     0 1174  759 95  1  4  0  0 2025-09-22 22:26:25
